#year,LandAverageT,dLandAverageT
1750,3.034,3.574
1751,2.495,3.469
1752,0.348,3.789
1753,2.039,3.478
1754,1.574,5.02
1755,1.067,4.693
1756,3.887,3.513
1757,-0.276,4.022
1758,-1.503,7.349
1759,5.014,3.673
1760,-0.811,4.567
1761,0.6,4.779
1762,6.866,3.776
1763,1.369,6.415
1764,1.741,3.628
1765,3.78,4.928
1766,-0.793,4.766
1767,-0.643,5.656
1768,-2.08,3.027
1769,2.305,3.76
1770,1.974,4.275
1771,5.101,4.287
1772,1.253,4.624
1773,-0.437,2.933
1774,-0.325,4.557
1775,4.261,3.435
1776,-0.806,4.467
1777,6.021,3.11
1778,2.521,3.544
1779,1.47,2.802
1780,2.515,3.438
1781,2.401,4.948
1782,0.341,3.547
1783,-1.431,5.293
1784,2.596,3.347
1785,0.865,2.754
1786,0.763,2.436
1787,2.845,3.176
1788,0.735,2.993
1789,3.706,4.039
1790,2.444,1.94
1791,1.493,5.035
1792,0.348,2.516
1793,0.521,2.674
1794,3.71,3.869
1795,2.731,2.506
1796,2.844,2.096
1797,4.396,2.397
1798,2.679,1.967
1799,1.923,2.229
1800,2.815,1.844
1801,2.687,1.922
1802,3.74,1.905
1803,0.602,2.026
1804,2.445,2.683
1805,2.822,2.512
1806,2.917,2.167
1807,1.055,2.393
1808,1.131,4.111
1809,0.208,2.59
1810,0.888,3.258
1811,1.374,2.323
1812,0.977,4.545
1813,-1.385,2.191
1814,1.502,2.622
1815,2.051,2.033
1816,2.737,2.724
1817,1.54,2.451
1818,1.204,1.775
1819,1.014,1.984
1820,1.236,3.9
1821,2.999,1.549
1822,2.759,2.416
1823,1.758,1.796
1824,2.651,1.432
1825,3.213,1.913
1826,1.893,1.68
1827,3.593,2.328
1828,0.595,2.036
1829,2.032,1.931
1830,2.957,2.346
1831,2.182,2.217
1832,1.717,1.757
1833,2.006,1.76
1834,0.334,2.032
1835,2.551,1.755
1836,1.67,1.698
1837,1.94,2.033
1838,-0.557,1.999
1839,2.156,1.681
1840,2.561,1.468
1841,0.649,1.761
1842,1.636,1.64
1843,2.974,1.212
1844,1.868,1.17
1845,2.661,1.364
1846,3.213,1.47
1847,2.753,1.269
1848,0.51,1.341
1849,1.941,1.308
1850,0.749,1.105
1851,2.431,1.122
1852,2.376,1.389
1853,1.786,1.108
1854,1.281,0.977
1855,2.522,1.465
1856,2.76,0.752
1857,1.821,0.924
1858,2.739,1.094
1859,2.015,1.007
1860,2.077,0.86
1861,0.404,0.846
1862,0.685,1.105
1863,3.034,1.228
1864,1.551,0.876
1865,2.975,0.956
1866,2.932,0.861
1867,2.482,0.941
1868,1.834,0.795
1869,2.115,1.028
1870,2.082,0.808
1871,1.447,0.793
1872,1.652,0.996
1873,2.013,0.706
1874,2.685,0.825
1875,1.533,0.672
1876,1.856,0.503
1877,2.286,0.708
1878,2.017,0.461
1879,2.303,0.658
1880,1.755,0.572
1881,2.461,0.634
1882,2.99,0.486
1883,1.46,0.53
1884,2.12,0.472
1885,1.003,0.664
1886,1.436,0.545
1887,0.824,0.568
1888,1.708,0.375
1889,1.762,0.458
1890,1.836,0.401
1891,1.678,0.351
1892,2.018,0.399
1893,0.5,0.488
1894,1.691,0.372
1895,1.295,0.28
1896,2.291,0.392
1897,1.893,0.36
1898,2.737,0.31
1899,2.515,0.326
