0.011,816,323,46 s
0.016,997,615,04 s
0.056,280,110,0  s
0.011,060,099,33 s
0.020,401,896,30 s
0.006,182,216,75 s
0.008,857,349,96 s
0.009,050,740,69 s
0.028,936,159,1  s
0.253,443,138,5  s
0.041,334,151,6  s
0.038,461,885,9  s
0.010,359,436,39 s
0.017,839,373,7  s
0.016,418,700,0  s
0.014,341,732,77 s
0.017,904,822,7  s
0.048,978,230,9  s
0.009,962,202,92 s
0.016,839,529,58 s
0.011,615,831,80 s
0.083,003,389,2  s
0.012,977,752,92 s
0.005,641,209,64 s
0.005,181,630,80 s
0.039,545,069,7  s
0.008,769,090,69 s
0.009,962,872,25 s
0.012,695,928,57 s
0.013,513,133,87 s
0.047,901,544,4  s
0.018,386,428,6  s
0.007,433,764,95 s
0.030,463,232,2  s
0.022,528,767,96 s
0.017,156,826,8  s
0.017,538,819,6  s
0.014,757,114,04 s
0.011,341,781,57 s
0.028,472,354,6  s
0.007,960,086,57 s
0.005,670,034,33 s
0.036,769,946,32 s
0.015,824,421,2  s
0.050,176,510,0  s
0.049,406,074,6  s
0.007,994,658,12 s
0.018,701,649,8  s
0.052,596,298,7  s
0.010,446,157,64 s
0.055,897,809,6  s
0.051,267,214,4  s
0.019,784,301,4  s
0.047,992,488,8  s
0.021,775,786,0  s
0.009,461,196,82 s
0.009,073,037,86 s
0.008,810,323,43 s
0.031,216,252,4  s
0.008,756,970,46 s
0.011,892,331,73 s
0.043,749,276,9  s
0.011,539,402,54 s
0.007,646,271,68 s
0.011,887,296,05 s
0.008,216,955,29 s
0.060,666,004,6  s
0.006,093,260,64 s
0.013,035,497,4  s
0.021,284,300,4  s
0.022,334,016,52 s
0.008,777,998,04 s
0.005,414,198,53 s
0.065,283,033,7  s
0.022,270,772,6  s
0.011,926,247,2  s
0.006,126,511,58 s
0.009,534,048,54 s
0.070,999,637,8  s
0.042,730,456,3  s
0.059,249,365,7  s
0.088,684,932,8  s
0.017,910,216,1  s
0.018,300,149,7  s
0.042,439,324,8  s
0.013,201,703,08 s
0.109,553,617,6  s
0.018,501,101,67 s
0.073,229,932,4  s
0.027,317,087,7  s
0.014,452,290,25 s
0.026,601,730,1  s
0.018,770,233,8  s
0.015,379,533,18 s
0.019,106,362,4  s
0.069,048,746,6  s
0.020,290,944,75 s
0.020,235,248,8  s
0.026,472,491,1  s
0.015,293,645,03 s
0.010,839,314,33 s
0.013,297,387,79 s
0.123,690,429,5  s
0.010,006,456,3  s
0.009,943,098,89 s
0.021,141,101,6  s
0.016,075,189,92 s
0.018,491,283,0  s
0.015,160,886,79 s
0.026,654,302,9  s
0.035,935,777,0  s
0.018,249,638,9  s
0.024,387,226,86 s
0.005,884,937,64 s
0.070,525,339,2  s
0.020,791,304,3  s
0.023,067,203,6  s
0.011,344,461,81 s
0.020,824,948,0  s
0.094,234,005,2  s
0.025,824,110,25 s
0.035,750,523,4  s
0.023,396,453,1  s
0.017,638,952,2  s
0.101,897,498,9  s
0.019,435,414,6  s
0.015,446,824,96 s
0.007,107,181,47 s
0.012,534,061,25 s
0.026,840,674,7  s
0.005,369,874,73 s
0.009,335,424,10 s
0.005,958,991,95 s
0.003,646,198,93 s
0.008,213,302,87 s
0.025,162,024,1  s
0.012,806,091,05 s
0.015,474,401,07 s
0.010,122,007,57 s
0.012,836,747,50 s
0.025,608,928,62 s
0.013,048,211,71 s
0.019,405,107,3  s
0.028,512,127,9  s
0.013,183,198,5  s
0.011,693,520,58 s
0.008,402,035,21 s
0.032,539,152,1  s
0.019,341,806,1  s
0.072,985,148,8  s
0.036,352,873,8  s
0.009,292,452,54 s
0.080,102,719,7  s
0.026,883,432,6  s
0.014,184,890,67 s
0.010,073,344,17 s
0.054,607,745,0  s
0.004,130,818,08 s
0.036,711,870,5  s
0.022,874,063,72 s
0.010,584,641,71 s
0.022,604,686,2  s
0.018,087,462,4  s
0.030,102,355,4  s
0.011,245,497,81 s
0.012,894,214,61 s
0.029,057,495,1  s
0.014,777,700,5  s
0.010,669,595,43 s
0.075,149,470,0  s
0.056,141,231,5  s
0.005,496,228,62 s
0.007,557,774,54 s
0.007,945,767,68 s
0.012,009,801,93 s
0.010,964,339,42 s
0.020,688,604,83 s
0.011,517,391,13 s
0.015,554,470,11 s
0.004,186,737,96 s
0.008,802,753,56 s
0.022,923,491,2  s
0.023,933,293,5  s
0.067,938,559,9  s
0.018,869,269,7  s
0.018,484,195,2  s
0.053,935,691,5  s
0.031,312,434,5  s
0.065,245,820,6  s
0.015,549,798,3  s
0.019,612,971,1  s
0.004,771,549,93 s
0.029,011,658,9  s
0.012,532,907,9  s
0.007,109,101,70 s
0.019,605,650,3  s
0.009,182,979,36 s
0.037,497,527,6  s
0.022,863,088,3  s
0.025,022,943,1  s
0.036,381,854,4  s
0.015,779,984,25 s
0.086,738,646,2  s
0.013,793,633,9  s
0.030,059,927,4  s
0.030,494,843,8  s
0.014,435,031,00 s
0.026,635,252,4  s
0.014,383,001,1  s
0.006,035,419,36 s
0.016,812,498,42 s
0.010,058,274,25 s
0.009,639,261,37 s
0.019,125,160,8  s
0.022,678,110,2  s
0.023,932,568,38 s
0.009,222,158,65 s
0.017,335,263,7  s
0.006,192,582,55 s
0.012,771,986,79 s
0.053,830,529,2  s
0.018,182,043,9  s
0.005,986,288,58 s
0.006,624,902,72 s
0.014,874,992,44 s
0.020,336,278,92 s
0.024,421,117,0  s
0.012,792,247,04 s
0.013,806,480,35 s
0.007,706,670,32 s
0.016,338,308,00 s
0.012,672,632,08 s
0.023,999,960,7  s
0.030,714,480,4  s
0.017,412,799,9  s
0.006,086,699,16 s
0.016,729,335,46 s
0.011,829,100,86 s
0.007,838,002,89 s
0.014,688,927,4  s
0.021,421,037,54 s
0.032,487,381,4  s
0.015,041,444,5  s
0.019,216,590,12 s
0.039,519,251,3  s
0.015,381,443,6  s
0.010,108,646,92 s
0.006,514,435,24 s
0.033,879,369,7  s
0.023,334,792,4  s
0.009,915,037,58 s
0.019,417,773,5  s
0.026,167,376,7  s
0.057,101,637,4  s
0.025,031,004,4  s
0.020,745,180,46 s
0.019,687,896,5  s
0.069,036,591,1  s
0.025,205,148,6  s
0.016,206,100,6  s
0.023,411,571,08 s
0.020,490,644,3  s
0.021,740,652,14 s
0.004,779,250,26 s
0.017,929,017,1  s
0.018,505,157,74 s
0.016,244,168,9  s
0.009,623,950,96 s
0.016,873,926,3  s
0.006,311,072,35 s
0.035,600,039,7  s
0.008,286,717,93 s
0.030,416,542,1  s
0.008,584,493,17 s
0.029,020,192,1  s
0.010,208,309,82 s
0.021,653,458,2  s
0.074,508,502,1  s
0.014,862,162,8  s
0.054,789,685,0  s
0.021,152,897,2  s
0.129,822,586,1  s
0.006,553,448,10 s
0.038,515,339,6  s
0.028,041,476,9  s
0.011,136,523,23 s
0.043,310,650,9  s
0.030,086,490,0  s
0.020,688,664,1  s
0.016,020,780,1  s
0.092,273,797,5  s
0.049,543,653,2  s
0.030,475,901,5  s
0.011,086,367,12 s
0.026,967,866,5  s
0.011,304,018,0  s
0.045,314,503,1  s
0.006,681,174,21 s
0.009,271,268,08 s
0.012,191,766,25 s
0.018,474,541,1  s
0.058,708,599,2  s
0.024,807,057,9  s
0.067,514,120,1  s
0.014,859,687,1  s
0.015,468,524,2  s
0.032,693,277,1  s
0.018,957,080,04 s
0.005,831,828,80 s
0.009,626,795,17 s
0.035,632,106,7  s
0.023,444,187,9  s
0.031,878,268,1  s
0.012,320,116,83 s
0.022,736,984,7  s
0.016,771,605,96 s
0.005,527,027,90 s
0.038,761,785,6  s
0.007,432,646,14 s
0.010,478,278,08 s
0.025,145,272,25 s
0.055,355,933,0  s
0.045,790,459,7  s
0.022,080,336,7  s
0.020,098,094,7  s
0.043,498,550,7  s
0.008,753,398,31 s
0.029,601,949,5  s
0.036,948,707,3  s
0.027,516,711,9  s
0.106,808,329,9  s
0.033,328,607,7  s
0.033,649,368,2  s
0.016,643,516,75 s
0.016,535,964,1  s
0.056,258,206,1  s
0.019,376,375,22 s
0.031,540,011,2  s
0.046,488,888,2  s
0.017,442,332,79 s
0.043,060,835,21 s
0.017,918,131,53 s
0.034,410,064,4  s
0.006,616,190,27 s
0.014,390,624,25 s
0.014,709,479,9  s
0.017,831,523,25 s
0.021,165,596,31 s
0.051,459,963,2  s
0.010,091,468,57 s
0.009,528,305,68 s
0.013,426,241,14 s
0.008,839,757,82 s
0.020,656,417,67 s
0.005,517,611,88 s
0.005,931,326,62 s
0.067,187,199,4  s
0.007,574,613,62 s
0.074,068,204,6  s
0.014,248,725,12 s
0.038,614,505,6  s
0.013,877,944,96 s
0.027,738,171,6  s
0.010,218,992,92 s
0.022,689,128,69 s
0.014,601,982,67 s
0.031,876,183,3  s
0.011,034,537,67 s
0.017,059,937,3  s
0.052,853,888,8  s
0.033,190,395,5  s
0.019,955,533,8  s
0.016,806,345,1  s
0.026,482,181,0  s
0.022,271,454,4  s
0.013,475,111,38 s
0.049,026,589,8  s
0.016,410,317,65 s
0.007,807,096,82 s
0.062,231,079,9  s
0.035,641,761,9  s
0.011,991,066,05 s
0.024,869,109,50 s
0.032,542,090,7  s
0.044,416,581,5  s
0.015,690,879,7  s
0.020,817,902,5  s
0.007,646,345,63 s
0.005,410,653,69 s
0.026,099,172,4  s
0.007,451,626,57 s
0.017,106,890,6  s
0.038,338,379,2  s
0.009,635,237,54 s
0.021,611,258,3  s
0.013,433,731,3  s
0.012,022,853,36 s
0.025,214,236,7  s
0.041,941,910,3  s
0.038,863,453,0  s
0.038,065,212,92 s
0.042,450,871,1  s
0.026,210,210,5  s
0.040,394,905,1  s
0.015,201,070,24 s
0.022,113,848,6  s
0.013,175,965,0  s
0.011,525,255,89 s
0.024,808,655,7  s
0.006,163,249,82 s
0.028,656,377,1  s
0.078,276,426,3  s
0.007,448,272,40 s
0.009,944,822,86 s
0.009,222,955,11 s
0.029,422,558,7  s
0.006,702,285,93 s
0.009,998,881,52 s
0.023,858,817,9  s
0.032,811,060,8  s
0.051,192,847,4  s
0.006,966,383,30 s
0.017,985,704,2  s
0.031,701,281,8  s
0.010,683,317,9  s
0.013,344,592,95 s
0.054,471,400,3  s
0.038,577,764,4  s
0.081,709,207,2  s
0.022,466,841,3  s
0.023,998,134,3  s
0.022,035,152,33 s
0.011,849,421,57 s
0.054,519,625,5  s
0.015,872,751,75 s
0.017,385,141,64 s
0.047,956,096,6  s
