
Automatic Data Collection:
Tue Feb 26 11:32:02 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00252	 0.12623
0.05000	 -0.00618	 0.12490
0.10000	 0.00329	 0.14095
0.15000	 0.00596	 0.12504
0.20000	 0.00449	 0.12230
0.25000	 0.00074	 0.12418
0.30000	 0.00502	 0.13685
0.35000	 0.00243	 0.13012
0.40000	 0.00026	 0.12724
0.45000	 -0.00593	 0.13096
0.50000	 0.00164	 0.13639
0.55000	 0.00007	 0.13763
0.60000	 -0.00432	 0.12452
0.65000	 -0.01271	 0.12594
0.70000	 -0.00931	 0.12568
0.75000	 -0.00609	 0.12161
0.80000	 0.00195	 0.12683
0.85000	 -0.00596	 0.12233
0.90000	 -0.00488	 0.12438
0.95000	 -0.01373	 0.13203
1.00000	 0.00008	 0.11959
1.05000	 -0.00376	 0.13246
1.10000	 -0.00069	 0.13148
1.15000	 -0.00466	 0.13243
1.20000	 -0.00266	 0.12525
1.25000	 0.00235	 0.12654
1.30000	 0.00494	 0.13295
1.35000	 -0.00328	 0.12525
1.40000	 0.00308	 0.13059
1.45000	 -0.00240	 0.12470
1.50000	 -0.00925	 0.13740
1.55000	 -0.00492	 0.12135
1.60000	 -0.00015	 0.12435
1.65000	 0.00286	 0.12256
1.70000	 -0.00336	 0.13460
1.75000	 0.00396	 0.12854
1.80000	 -0.00528	 0.13021
1.85000	 -0.01136	 0.13082
1.90000	 -0.00361	 0.12946
1.95000	 0.00469	 0.13327
2.00000	 0.00125	 0.13217
2.05000	 -0.00289	 0.13033
2.10000	 -0.00478	 0.13194
2.15000	 0.00619	 0.12871
2.20000	 0.00260	 0.12660
2.25000	 -0.00629	 0.12851
2.30000	 -0.00066	 0.13223
2.35000	 -0.00187	 0.12640
2.40000	 -0.00260	 0.12735
2.45000	 -0.00449	 0.12891
2.50000	 0.00047	 0.13321
2.55000	 -0.00499	 0.12906
2.60000	 0.00069	 0.12496
2.65000	 -0.00697	 0.12747
2.70000	 -0.00772	 0.13272
2.75000	 0.00520	 0.13263
2.80000	 -0.00142	 0.12914
2.85000	 -0.00255	 0.12279
2.90000	 -0.00266	 0.13621
2.95000	 -0.00561	 0.12779
3.00000	 -0.00590	 0.12490
3.05000	 -0.00589	 0.12037
3.10000	 -0.00192	 0.13090
3.15000	 -0.00030	 0.12900
3.20000	 0.00178	 0.13832
3.25000	 -0.00305	 0.12831
3.30000	 -0.00602	 0.13122
3.35000	 -0.00477	 0.12455
3.40000	 -0.00018	 0.12392
3.45000	 -0.00534	 0.12285
3.50000	 -0.00396	 0.13085
3.55000	 -0.00030	 0.12926
3.60000	 0.00247	 0.13705
3.65000	 -0.00131	 0.12357
3.70000	 -0.00585	 0.13746
3.75000	 0.00348	 0.12568
3.80000	 0.00388	 0.13388
3.85000	 0.00080	 0.12502
3.90000	 -0.00291	 0.13815
3.95000	 0.00205	 0.13327
4.00000	 0.00325	 0.12906
4.05000	 -0.00390	 0.12372
4.10000	 -0.00761	 0.12842
4.15000	 0.00458	 0.12796
4.20000	 -0.00088	 0.12903
4.25000	 -0.00657	 0.12883
4.30000	 0.00323	 0.13139
4.35000	 -0.00046	 0.12937
4.40000	 0.00454	 0.12802
4.45000	 0.00029	 0.12828
4.50000	 -0.00463	 0.13102
4.55000	 -0.00269	 0.12398
4.60000	 -0.00029	 0.12496
4.65000	 -0.00080	 0.13131
4.70000	 -0.00528	 0.13564
4.75000	 -0.00195	 0.13541
4.80000	 -0.00162	 0.12484
4.85000	 -0.00286	 0.12611
4.90000	 -0.01024	 0.13373
4.95000	 -0.00500	 0.12308
5.00000	 -0.00530	 0.12014
5.05000	 -0.00237	 0.12490
5.10000	 -0.00278	 0.13289
5.15000	 -0.00750	 0.12568
5.20000	 -0.00178	 0.13471
5.25000	 -0.00241	 0.12392
5.30000	 -0.01283	 0.13393
5.35000	 -0.00100	 0.12969
5.40000	 -0.00099	 0.12767
5.45000	 -0.00305	 0.12819
5.50000	 -0.00799	 0.12706
5.55000	 0.00303	 0.13367
5.60000	 0.00021	 0.12813
5.65000	 0.00150	 0.12914
5.70000	 -0.00725	 0.14236
5.75000	 -0.00336	 0.12455
5.80000	 -0.00444	 0.13021
5.85000	 -0.00589	 0.12429
5.90000	 -0.00075	 0.13535
5.95000	 -0.00344	 0.12409
6.00000	 0.00340	 0.13116
6.05000	 -0.00311	 0.12891
6.10000	 0.00311	 0.12825
6.15000	 -0.00150	 0.12793
6.20000	 -0.00071	 0.12530
6.25000	 -0.00094	 0.12825
6.30000	 -0.00581	 0.13004
6.35000	 -0.00361	 0.13431
6.40000	 -0.00457	 0.12400
6.45000	 -0.00344	 0.12926
6.50000	 0.00123	 0.12848
6.55000	 -0.00184	 0.12652
6.60000	 0.00043	 0.12805
6.65000	 -0.00589	 0.12360
6.70000	 -0.00756	 0.12421
6.75000	 -0.00018	 0.12871
6.80000	 0.00793	 0.13512
6.85000	 0.00209	 0.12767
6.90000	 -0.00074	 0.12845
6.95000	 -0.00303	 0.12955
7.00000	 0.00010	 0.12874
7.05000	 -0.00502	 0.12582
7.10000	 -0.00682	 0.13295
7.15000	 0.00229	 0.12836
7.20000	 -0.00188	 0.13174
7.25000	 -0.00196	 0.12415
7.30000	 -0.00475	 0.13526
7.35000	 -0.00502	 0.12224
7.40000	 -0.00474	 0.13431
7.45000	 0.00285	 0.12187
7.50000	 -0.00235	 0.13532
7.55000	 -0.00379	 0.12920
7.60000	 0.00874	 0.13494
7.65000	 -0.00317	 0.12268
7.70000	 -0.00502	 0.12715
7.75000	 -0.00375	 0.13180
7.80000	 -0.00713	 0.12455
7.85000	 -0.00527	 0.12779
7.90000	 -0.00458	 0.12750
7.95000	 -0.00153	 0.13362
8.00000	 -0.00038	 0.12565
8.05000	 -0.00357	 0.12542
8.10000	 -0.00033	 0.12885
8.15000	 -0.00553	 0.12773
8.20000	 -0.00509	 0.12461
8.25000	 -0.00421	 0.13056
8.30000	 -0.00851	 0.12868
8.35000	 -0.00511	 0.13616
8.40000	 0.00948	 0.11794
8.45000	 -0.00494	 0.12995
8.50000	 -0.00435	 0.12634
8.55000	 -0.00122	 0.13310
8.60000	 0.00140	 0.12519
8.65000	 -0.00089	 0.12972
8.70000	 -0.00516	 0.12911
8.75000	 -0.00668	 0.13523
8.80000	 0.00162	 0.12458
8.85000	 0.00052	 0.12692
8.90000	 -0.00396	 0.12799
8.95000	 -0.00973	 0.12646
9.00000	 0.00525	 0.12833
9.05000	 -0.00074	 0.12594
9.10000	 -0.00976	 0.13425
9.15000	 -0.00392	 0.13229
9.20000	 -0.01102	 0.12706
9.25000	 0.00103	 0.12932
9.30000	 -0.00897	 0.13289
9.35000	 0.00004	 0.12712
9.40000	 -0.00299	 0.12435
9.45000	 0.00216	 0.11904
9.50000	 0.00041	 0.13113
9.55000	 -0.01027	 0.12519
9.60000	 0.00460	 0.13639
9.65000	 -0.00751	 0.12848
9.70000	 -0.00620	 0.13269
9.75000	 -0.00682	 0.12767
9.80000	 0.00022	 0.12611
9.85000	 0.00695	 0.12224
9.90000	 0.00443	 0.13125
9.95000	 0.00010	 0.13517
