
Automatic Data Collection:
Tue Feb 26 11:32:23 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00337	 0.15474
0.05000	 0.00250	 0.14603
0.10000	 -0.00007	 0.15783
0.15000	 -0.00432	 0.13717
0.20000	 -0.00471	 0.14372
0.25000	 -0.00906	 0.14222
0.30000	 0.00089	 0.14395
0.35000	 0.00413	 0.14083
0.40000	 -0.00344	 0.15319
0.45000	 -0.00554	 0.14863
0.50000	 0.00190	 0.14626
0.55000	 -0.00875	 0.14190
0.60000	 0.00381	 0.15985
0.65000	 -0.00147	 0.15024
0.70000	 -0.00233	 0.15330
0.75000	 -0.00193	 0.14161
0.80000	 -0.01401	 0.15356
0.85000	 -0.00313	 0.15824
0.90000	 0.00351	 0.15564
0.95000	 0.01393	 0.15062
1.00000	 -0.00047	 0.15627
1.05000	 -0.00171	 0.15255
1.10000	 0.00148	 0.14966
1.15000	 -0.00640	 0.16000
1.20000	 -0.01003	 0.15399
1.25000	 -0.00147	 0.15829
1.30000	 0.00491	 0.14981
1.35000	 -0.00157	 0.14949
1.40000	 -0.00106	 0.14978
1.45000	 -0.00275	 0.16228
1.50000	 0.00619	 0.15223
1.55000	 0.00021	 0.15777
1.60000	 -0.00328	 0.14877
1.65000	 -0.01030	 0.16424
1.70000	 0.00468	 0.15085
1.75000	 0.00540	 0.15994
1.80000	 0.00359	 0.14011
1.85000	 -0.00723	 0.16522
1.90000	 -0.00573	 0.14678
1.95000	 -0.00379	 0.16421
2.00000	 0.00744	 0.15163
2.05000	 -0.00564	 0.16889
2.10000	 0.00108	 0.15145
2.15000	 0.00109	 0.16381
2.20000	 -0.00387	 0.14764
2.25000	 0.00561	 0.16580
2.30000	 -0.00506	 0.15570
2.35000	 0.00036	 0.15388
2.40000	 -0.00868	 0.16658
2.45000	 0.00133	 0.15726
2.50000	 -0.00720	 0.15486
2.55000	 0.01006	 0.14938
2.60000	 -0.00916	 0.16173
2.65000	 -0.00171	 0.15633
2.70000	 -0.00730	 0.16086
2.75000	 0.00298	 0.14811
2.80000	 -0.00513	 0.14891
2.85000	 -0.00032	 0.15904
2.90000	 -0.00429	 0.14213
2.95000	 0.00739	 0.15850
3.00000	 0.00224	 0.14914
3.05000	 0.00638	 0.16173
3.10000	 0.00123	 0.15529
3.15000	 -0.00139	 0.14585
3.20000	 -0.00827	 0.14005
3.25000	 0.00143	 0.16066
3.30000	 -0.00820	 0.14906
3.35000	 -0.00838	 0.14750
3.40000	 -0.01511	 0.13826
3.45000	 -0.00410	 0.16384
3.50000	 0.00454	 0.14251
3.55000	 -0.00480	 0.13763
3.60000	 0.00168	 0.14865
3.65000	 -0.00973	 0.14707
3.70000	 0.00481	 0.15232
3.75000	 0.00671	 0.15105
3.80000	 0.00754	 0.15838
3.85000	 0.00958	 0.15971
3.90000	 0.00319	 0.16086
3.95000	 0.00488	 0.14773
4.00000	 0.00171	 0.14655
