
Automatic Data Collection:
Tue Feb 26 11:37:43 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00590	 0.06400
0.05000	 0.00167	 0.06198
0.10000	 -0.00447	 0.06160
0.15000	 -0.00514	 0.07173
0.20000	 -0.00120	 0.06602
0.25000	 -0.00578	 0.06639
0.30000	 -0.00835	 0.07107
0.35000	 -0.00696	 0.06469
0.40000	 0.00188	 0.06253
0.45000	 -0.00385	 0.06195
0.50000	 -0.00382	 0.06440
0.55000	 -0.00317	 0.06486
0.60000	 -0.00142	 0.06559
0.65000	 -0.00361	 0.06316
0.70000	 -0.00571	 0.06836
0.75000	 -0.00469	 0.06717
0.80000	 -0.00114	 0.06348
0.85000	 -0.00176	 0.06570
0.90000	 -0.00660	 0.06486
0.95000	 -0.00559	 0.06971
1.00000	 -0.00181	 0.06241
1.05000	 0.00064	 0.06204
1.10000	 -0.00402	 0.06807
1.15000	 -0.00536	 0.07110
1.20000	 0.00109	 0.06357
1.25000	 0.00074	 0.06732
1.30000	 -0.00520	 0.06426
1.35000	 -0.00117	 0.07038
1.40000	 0.00026	 0.06567
1.45000	 -0.00387	 0.06772
1.50000	 -0.00418	 0.07577
1.55000	 -0.00399	 0.06564
1.60000	 0.00160	 0.06634
1.65000	 -0.00147	 0.06359
1.70000	 -0.00776	 0.07084
1.75000	 -0.00553	 0.06668
1.80000	 -0.00019	 0.06348
1.85000	 -0.00418	 0.06322
1.90000	 -0.00739	 0.06865
1.95000	 -0.00437	 0.06466
2.00000	 0.00061	 0.06596
2.05000	 -0.00244	 0.06561
2.10000	 -0.00765	 0.06859
2.15000	 -0.00883	 0.07286
2.20000	 -0.00685	 0.06732
2.25000	 -0.00339	 0.06504
2.30000	 -0.00661	 0.06247
2.35000	 -0.00491	 0.07170
2.40000	 -0.00187	 0.06420
2.45000	 -0.00066	 0.06587
2.50000	 -0.00891	 0.06908
2.55000	 -0.00379	 0.07058
2.60000	 -0.00364	 0.06290
2.65000	 -0.00330	 0.06775
2.70000	 -0.00506	 0.07453
2.75000	 -0.00161	 0.06446
2.80000	 0.00060	 0.06527
2.85000	 -0.00302	 0.06068
2.90000	 -0.00406	 0.07736
2.95000	 -0.00320	 0.06758
3.00000	 0.00139	 0.06821
3.05000	 -0.00345	 0.06302
3.10000	 -0.00613	 0.07523
3.15000	 -0.00295	 0.06613
3.20000	 0.00041	 0.07136
3.25000	 -0.00275	 0.06316
3.30000	 -0.00660	 0.07254
