
Automatic Data Collection:
Thu Feb 21 16:20:57 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.00709	 0.11814
0.05000	 0.00656	 0.11748
0.10000	 -0.00439	 0.13422
0.15000	 -0.01210	 0.14949
0.20000	 -0.00479	 0.13362
0.25000	 -0.01354	 0.12037
0.30000	 -0.01045	 0.14158
0.35000	 -0.00430	 0.13751
0.40000	 -0.00555	 0.12649
0.45000	 -0.01072	 0.11370
0.50000	 -0.00971	 0.11419
0.55000	 -0.00288	 0.12957
0.60000	 -0.00292	 0.13333
0.65000	 -0.00349	 0.11099
0.70000	 -0.00256	 0.14057
0.75000	 -0.00343	 0.12022
0.80000	 -0.00440	 0.10256
0.85000	 0.00564	 0.12923
0.90000	 0.00338	 0.14429
0.95000	 0.00622	 0.13708
1.00000	 0.00600	 0.12839
1.05000	 -0.00678	 0.11915
1.10000	 -0.00242	 0.13359
1.15000	 -0.01152	 0.12799
1.20000	 0.00367	 0.11454
1.25000	 -0.00042	 0.12464
1.30000	 -0.00309	 0.12810
1.35000	 -0.00161	 0.12155
1.40000	 -0.00316	 0.11188
1.45000	 -0.00572	 0.11254
1.50000	 -0.00565	 0.13985
1.55000	 0.00341	 0.14851
1.60000	 -0.00368	 0.11200
1.65000	 -0.00816	 0.10184
1.70000	 -0.01337	 0.13110
1.75000	 -0.00168	 0.12221
1.80000	 -0.00271	 0.10767
1.85000	 -0.00295	 0.10833
1.90000	 -0.00775	 0.15229
1.95000	 -0.00608	 0.14577
2.00000	 -0.00064	 0.11610
2.05000	 -0.00037	 0.11361
2.10000	 -0.01113	 0.12262
2.15000	 -0.00551	 0.13084
2.20000	 0.00350	 0.11826
2.25000	 0.00135	 0.14043
2.30000	 -0.00761	 0.14828
2.35000	 -0.00769	 0.13116
2.40000	 0.00059	 0.11179
2.45000	 -0.00175	 0.11263
2.50000	 -0.00507	 0.15027
2.55000	 -0.01019	 0.15330
2.60000	 -0.00090	 0.12793
2.65000	 -0.00133	 0.11035
2.70000	 -0.00534	 0.11690
2.75000	 0.00146	 0.11373
2.80000	 -0.00535	 0.13255
2.85000	 -0.00591	 0.12374
2.90000	 -0.00636	 0.15070
2.95000	 0.00119	 0.14378
3.00000	 0.00043	 0.12556
3.05000	 -0.01281	 0.12585
3.10000	 -0.01509	 0.11563
3.15000	 -0.01189	 0.12597
3.20000	 -0.00183	 0.13595
3.25000	 0.00363	 0.13884
3.30000	 -0.00471	 0.15056
3.35000	 -0.00287	 0.14580
3.40000	 0.00485	 0.12025
3.45000	 -0.00588	 0.12204
3.50000	 0.00033	 0.13001
3.55000	 -0.00216	 0.13743
3.60000	 -0.00019	 0.11477
3.65000	 -0.00202	 0.12504
3.70000	 -0.00659	 0.13549
3.75000	 -0.01486	 0.14389
3.80000	 -0.01047	 0.13350
3.85000	 -0.00076	 0.12143
3.90000	 -0.00467	 0.14669
3.95000	 -0.00115	 0.12833
4.00000	 -0.00506	 0.13223
4.05000	 -0.00571	 0.12077
4.10000	 -0.00944	 0.15734
4.15000	 -0.00270	 0.14011
4.20000	 0.00045	 0.12646
4.25000	 -0.00031	 0.11361
4.30000	 -0.00563	 0.15443
4.35000	 0.01061	 0.14655
4.40000	 0.00054	 0.13367
4.45000	 -0.01735	 0.12291
4.50000	 -0.01543	 0.11630
4.55000	 -0.00633	 0.11032
4.60000	 -0.00025	 0.12066
4.65000	 -0.01131	 0.13898
4.70000	 -0.01163	 0.15746
4.75000	 -0.00242	 0.13090
4.80000	 -0.00237	 0.11526
4.85000	 -0.00868	 0.12305
4.90000	 -0.00265	 0.14401
