
Automatic Data Collection:
Thu Feb 21 17:01:24 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.01040	 0.07580
0.05000	 0.00569	 0.08025
0.10000	 0.00571	 0.08905
0.15000	 0.00701	 0.08709
0.20000	 0.00191	 0.06374
0.25000	 0.00090	 0.06994
0.30000	 -0.00240	 0.08683
0.35000	 0.00625	 0.08163
0.40000	 0.00479	 0.08088
0.45000	 0.00360	 0.08810
0.50000	 0.00385	 0.09087
0.55000	 0.00536	 0.07800
0.60000	 0.00392	 0.06252
0.65000	 0.00372	 0.08403
0.70000	 0.00082	 0.09009
0.75000	 0.00768	 0.09156
0.80000	 0.00355	 0.08071
0.85000	 0.00352	 0.08928
0.90000	 -0.00022	 0.08729
0.95000	 0.00318	 0.08028
1.00000	 0.00310	 0.06252
1.05000	 -0.00005	 0.08357
1.10000	 -0.00489	 0.09731
1.15000	 -0.00143	 0.09246
1.20000	 0.00222	 0.07338
1.25000	 0.00099	 0.08293
1.30000	 0.00206	 0.08455
1.35000	 0.00588	 0.07927
1.40000	 0.00540	 0.06504
1.45000	 0.00566	 0.07929
1.50000	 0.00910	 0.10010
1.55000	 0.01140	 0.07647
1.60000	 0.00546	 0.07531
1.65000	 -0.00941	 0.07722
1.70000	 -0.01296	 0.07883
1.75000	 -0.00487	 0.06726
1.80000	 0.00174	 0.08189
1.85000	 -0.00698	 0.08983
1.90000	 -0.00050	 0.09624
1.95000	 0.00585	 0.06711
2.00000	 0.00726	 0.05378
2.05000	 0.00268	 0.07502
2.10000	 0.00400	 0.08663
2.15000	 0.00723	 0.08088
2.20000	 0.00676	 0.07332
2.25000	 0.00070	 0.09084
2.30000	 -0.00081	 0.08810
2.35000	 0.00709	 0.08602
2.40000	 0.00955	 0.06683
2.45000	 0.00580	 0.07852
2.50000	 0.00985	 0.08019
2.55000	 0.00795	 0.08489
2.60000	 -0.00118	 0.07866
2.65000	 -0.00337	 0.09736
2.70000	 0.00167	 0.08466
2.75000	 0.00392	 0.06102
2.80000	 0.00070	 0.07329
2.85000	 -0.00627	 0.08550
2.90000	 0.00577	 0.08818
2.95000	 0.00831	 0.07346
3.00000	 0.00352	 0.08331
3.05000	 -0.00665	 0.08758
3.10000	 -0.00074	 0.08821
3.15000	 0.00571	 0.06786
3.20000	 0.00585	 0.06414
3.25000	 0.00039	 0.08189
3.30000	 -0.00116	 0.09000
3.35000	 0.00406	 0.07938
