
Automatic Data Collection:
Thu Feb 21 17:03:46 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.01307	 0.47948
0.05000	 -0.00369	 0.50370
0.10000	 0.00554	 0.53297
0.15000	 0.01799	 0.55828
0.20000	 0.02608	 0.49172
0.25000	 0.03993	 0.55147
0.30000	 0.04571	 0.48912
0.35000	 0.01523	 0.49386
0.40000	 0.02311	 0.56538
0.45000	 0.01189	 0.48226
0.50000	 0.03534	 0.54163
0.55000	 0.02112	 0.51600
0.60000	 -0.01991	 0.44095
0.65000	 -0.00419	 0.56870
0.70000	 -0.02109	 0.55107
0.75000	 0.03219	 0.55811
0.80000	 0.03776	 0.50970
0.85000	 0.02124	 0.44606
0.90000	 0.02152	 0.47123
0.95000	 -0.01016	 0.53551
1.00000	 -0.01469	 0.46834
1.05000	 0.04589	 0.54867
1.10000	 0.03013	 0.56590
1.15000	 0.01738	 0.48650
1.20000	 -0.02204	 0.48272
1.25000	 0.03542	 0.49859
1.30000	 0.01731	 0.49695
1.35000	 -0.00172	 0.60365
1.40000	 -0.00313	 0.46811
1.45000	 0.04085	 0.51989
1.50000	 0.01571	 0.50382
1.55000	 0.00006	 0.46344
1.60000	 0.00895	 0.52125
1.65000	 0.04727	 0.46866
1.70000	 0.01789	 0.52269
1.75000	 0.04692	 0.48474
1.80000	 0.04241	 0.51675
1.85000	 0.02162	 0.53909
1.90000	 0.01468	 0.45535
1.95000	 -0.00299	 0.58510
2.00000	 0.04585	 0.48309
2.05000	 0.02538	 0.49741
2.10000	 0.00854	 0.36784
2.15000	 0.02464	 0.54333
2.20000	 0.01256	 0.48846
2.25000	 0.04404	 0.51236
2.30000	 0.00732	 0.54264
2.35000	 0.01650	 0.45432
2.40000	 0.03295	 0.56489
2.45000	 0.05544	 0.53150
2.50000	 0.00592	 0.49195
2.55000	 0.03286	 0.50226
2.60000	 0.03534	 0.47614
2.65000	 0.01419	 0.57860
2.70000	 0.02326	 0.52281
2.75000	 -0.01959	 0.51975
2.80000	 -0.02166	 0.46228
2.85000	 0.00006	 0.52448
2.90000	 0.04455	 0.57632
2.95000	 0.03149	 0.50099
3.00000	 -0.00962	 0.50001
3.05000	 0.02053	 0.52526
3.10000	 0.01630	 0.44066
3.15000	 -0.03635	 0.51787
3.20000	 -0.00841	 0.49845
3.25000	 0.00895	 0.55066
3.30000	 0.00704	 0.43177
3.35000	 0.01610	 0.53955
3.40000	 0.04049	 0.48863
3.45000	 0.00671	 0.57026
3.50000	 -0.03097	 0.53282
3.55000	 0.02994	 0.47039
3.60000	 0.01498	 0.51499
3.65000	 0.06949	 0.48133
3.70000	 0.01713	 0.58778
3.75000	 0.01285	 0.51646
3.80000	 -0.00048	 0.38917
3.85000	 0.04457	 0.54140
3.90000	 0.06600	 0.50719
3.95000	 0.01287	 0.53865
4.00000	 0.04804	 0.60057
4.05000	 0.02259	 0.50434
4.10000	 0.02690	 0.53554
4.15000	 -0.00191	 0.44684
4.20000	 0.04610	 0.48508
4.25000	 0.02154	 0.53023
4.30000	 0.04035	 0.49871
4.35000	 0.01203	 0.56382
4.40000	 0.03498	 0.47039
4.45000	 0.02785	 0.51487
4.50000	 0.01544	 0.44528
4.55000	 0.02729	 0.60071
4.60000	 -0.02656	 0.47596
4.65000	 0.03384	 0.48049
4.70000	 0.00411	 0.48099
4.75000	 -0.00408	 0.58307
4.80000	 -0.07989	 0.52059
4.85000	 -0.01337	 0.35505
4.90000	 0.05592	 0.43841
4.95000	 0.02963	 0.43325
5.00000	 0.04832	 0.49086
5.05000	 0.04689	 0.58717
5.10000	 -0.00794	 0.50263
5.15000	 -0.00281	 0.59909
5.20000	 0.03326	 0.52624
5.25000	 0.02123	 0.46439
5.30000	 0.01124	 0.47227
5.35000	 0.05686	 0.42513
5.40000	 0.04035	 0.49585
5.45000	 0.05869	 0.47743
5.50000	 0.05018	 0.50745
5.55000	 0.03937	 0.55257
5.60000	 0.01580	 0.46072
5.65000	 0.01990	 0.58230
5.70000	 0.02900	 0.43400
5.75000	 0.01116	 0.51282
5.80000	 -0.00600	 0.47966
5.85000	 0.02169	 0.56105
5.90000	 0.06184	 0.53369
5.95000	 0.05262	 0.56708
6.00000	 0.05828	 0.55147
6.05000	 0.00558	 0.44950
6.10000	 -0.01434	 0.51542
6.15000	 0.02090	 0.41402
6.20000	 0.05167	 0.49617
6.25000	 0.04202	 0.54307
6.30000	 0.00536	 0.51845
6.35000	 -0.01568	 0.57528
6.40000	 0.01006	 0.44967
6.45000	 0.00442	 0.51611
6.50000	 -0.02571	 0.48959
6.55000	 0.01758	 0.52356
6.60000	 0.03894	 0.58333
6.65000	 0.00774	 0.58175
6.70000	 -0.01987	 0.55776
6.75000	 -0.01526	 0.46814
6.80000	 0.02621	 0.39070
6.85000	 0.01433	 0.44915
6.90000	 0.02518	 0.58074
6.95000	 0.04268	 0.56111
7.00000	 0.05443	 0.47749
7.05000	 0.02000	 0.47481
7.10000	 0.04533	 0.48058
7.15000	 0.03733	 0.53274
7.20000	 0.05713	 0.58157
7.25000	 0.03481	 0.50618
7.30000	 0.01639	 0.55340
