,x,y
864,0,1_0_0_0
1296,0,3_0_0_0
1080,0,2_0_0_0
1512,0,4_0_0_0
0,3,1_1_1_1
865,4,1_0_0_2
870,4,1_0_2_0
900,4,1_2_0_0
871,8,1_0_2_2
901,8,1_2_0_2
906,8,1_2_2_0
36,11,1_3_1_1
1,11,1_1_1_3
6,11,1_1_3_1
907,12,1_2_2_2
216,12,2_1_1_1
936,16,1_4_0_0
1116,16,2_2_0_0
866,16,1_0_0_4
876,16,1_0_4_0
1086,16,2_0_2_0
1081,16,2_0_0_2
42,19,1_3_3_1
37,19,1_3_1_3
7,19,1_1_3_3
937,20,1_4_0_2
877,20,1_0_4_2
942,20,1_4_2_0
902,20,1_2_0_4
872,20,1_0_2_4
912,20,1_2_4_0
913,24,1_2_4_2
943,24,1_4_2_2
908,24,1_2_2_4
72,27,1_5_1_1
2,27,1_1_1_5
12,27,1_1_5_1
432,27,3_1_1_1
43,27,1_3_3_3
1122,32,2_2_2_0
878,32,1_0_4_4
938,32,1_4_0_4
948,32,1_4_4_0
1087,32,2_0_2_2
1117,32,2_2_0_2
78,35,1_5_3_1
73,35,1_5_1_3
13,35,1_1_5_3
38,35,1_3_1_5
8,35,1_1_3_5
48,35,1_3_5_1
882,36,1_0_6_0
1332,36,3_2_0_0
972,36,1_6_0_0
1302,36,3_0_2_0
949,36,1_4_4_2
914,36,1_2_4_4
867,36,1_0_0_6
944,36,1_4_2_4
1297,36,3_0_0_2
883,40,1_0_6_2
903,40,1_2_0_6
873,40,1_0_2_6
918,40,1_2_6_0
973,40,1_6_0_2
978,40,1_6_2_0
79,43,1_5_3_3
44,43,1_3_3_5
49,43,1_3_5_3
222,44,2_1_3_1
217,44,2_1_1_3
979,44,1_6_2_2
252,44,2_3_1_1
909,44,1_2_2_6
919,44,1_2_6_2
648,48,4_1_1_1
950,48,1_4_4_4
1123,48,2_2_2_2
18,51,1_1_7_1
108,51,1_7_1_1
84,51,1_5_5_1
3,51,1_1_1_7
14,51,1_1_5_5
74,51,1_5_1_5
939,52,1_4_0_6
954,52,1_4_6_0
984,52,1_6_4_0
884,52,1_0_6_4
974,52,1_6_0_4
879,52,1_0_4_6
920,56,1_2_6_4
915,56,1_2_4_6
985,56,1_6_4_2
945,56,1_4_2_6
980,56,1_6_2_4
955,56,1_4_6_2
85,59,1_5_5_3
80,59,1_5_3_5
114,59,1_7_3_1
19,59,1_1_7_3
50,59,1_3_5_5
39,59,1_3_1_7
9,59,1_1_3_7
109,59,1_7_1_3
54,59,1_3_7_1
1513,64,4_0_0_2
1092,64,2_0_4_0
1548,64,4_2_0_0
1008,64,1_8_0_0
1082,64,2_0_0_4
1518,64,4_0_2_0
868,64,1_0_0_8
1152,64,2_4_0_0
888,64,1_0_8_0
45,67,1_3_3_7
115,67,1_7_3_3
55,67,1_3_7_3
904,68,1_2_0_8
924,68,1_2_8_0
956,68,1_4_6_4
874,68,1_0_2_8
1014,68,1_8_2_0
1009,68,1_8_0_2
951,68,1_4_4_6
986,68,1_6_4_4
889,68,1_0_8_2
1015,72,1_8_2_2
925,72,1_2_8_2
990,72,1_6_6_0
885,72,1_0_6_6
1303,72,3_0_2_2
1333,72,3_2_0_2
975,72,1_6_0_6
1338,72,3_2_2_0
910,72,1_2_2_8
110,75,1_7_1_5
86,75,1_5_5_5
120,75,1_7_5_1
90,75,1_5_7_1
75,75,1_5_1_7
20,75,1_1_7_5
15,75,1_1_5_7
921,76,1_2_6_6
258,76,2_3_3_1
253,76,2_3_1_3
991,76,1_6_6_2
981,76,1_6_2_6
223,76,2_1_3_3
960,80,1_4_8_0
890,80,1_0_8_4
940,80,1_4_0_8
880,80,1_0_4_8
1020,80,1_8_4_0
1010,80,1_8_0_4
1153,80,2_4_0_2
1158,80,2_4_2_0
1128,80,2_2_4_0
1088,80,2_0_2_4
1093,80,2_0_4_2
1118,80,2_2_0_4
91,83,1_5_7_3
4,83,1_1_1_9
51,83,1_3_5_7
56,83,1_3_7_5
81,83,1_5_3_7
24,83,1_1_9_1
144,83,1_9_1_1
116,83,1_7_3_5
121,83,1_7_5_3
926,84,1_2_8_4
1016,84,1_8_2_4
1021,84,1_8_4_2
961,84,1_4_8_2
946,84,1_4_2_8
916,84,1_2_4_8
957,88,1_4_6_6
987,88,1_6_4_6
992,88,1_6_6_4
60,91,1_3_9_1
25,91,1_1_9_3
40,91,1_3_1_9
10,91,1_1_3_9
145,91,1_9_1_3
150,91,1_9_3_1
1022,96,1_8_4_4
1124,96,2_2_2_4
1129,96,2_2_4_2
962,96,1_4_8_4
952,96,1_4_4_8
1159,96,2_4_2_2
151,99,1_9_3_3
87,99,1_5_5_7
46,99,1_3_3_9
92,99,1_5_7_5
126,99,1_7_7_1
21,99,1_1_7_7
122,99,1_7_5_5
433,99,3_1_1_3
61,99,1_3_9_3
111,99,1_7_1_7
468,99,3_3_1_1
438,99,3_1_3_1
869,100,1_0_0_10
1026,100,1_8_6_0
976,100,1_6_0_8
1044,100,1_10_0_0
891,100,1_0_8_6
996,100,1_6_8_0
894,100,1_0_10_0
886,100,1_0_6_8
1011,100,1_8_0_6
875,104,1_0_2_10
895,104,1_0_10_2
905,104,1_2_0_10
982,104,1_6_2_8
1045,104,1_10_0_2
930,104,1_2_10_0
997,104,1_6_8_2
1050,104,1_10_2_0
1017,104,1_8_2_6
927,104,1_2_8_6
922,104,1_2_6_8
1027,104,1_8_6_2
26,107,1_1_9_5
117,107,1_7_3_7
146,107,1_9_1_5
96,107,1_5_9_1
127,107,1_7_7_3
57,107,1_3_7_7
156,107,1_9_5_1
16,107,1_1_5_9
76,107,1_5_1_9
911,108,1_2_2_10
288,108,2_5_1_1
1339,108,3_2_2_2
931,108,1_2_10_2
993,108,1_6_6_6
259,108,2_3_3_3
1051,108,1_10_2_2
228,108,2_1_5_1
218,108,2_1_1_5
152,115,1_9_3_5
97,115,1_5_9_3
52,115,1_3_5_9
62,115,1_3_9_5
82,115,1_5_3_9
157,115,1_9_5_3
963,116,1_4_8_6
958,116,1_4_6_8
1023,116,1_8_4_6
1028,116,1_8_6_4
998,116,1_6_8_4
966,116,1_4_10_0
988,116,1_6_4_8
1046,116,1_10_0_4
896,116,1_0_10_4
1056,116,1_10_4_0
941,116,1_4_0_10
881,116,1_0_4_10
947,120,1_4_2_10
917,120,1_2_4_10
1052,120,1_10_2_4
1057,120,1_10_4_2
932,120,1_2_10_4
967,120,1_4_10_2
123,123,1_7_5_7
180,123,1_11_1_1
128,123,1_7_7_5
30,123,1_1_11_1
5,123,1_1_1_11
93,123,1_5_7_7
1519,128,4_0_2_2
1032,128,1_8_8_0
1094,128,2_0_4_4
1549,128,4_2_0_2
1554,128,4_2_2_0
1164,128,2_4_4_0
1012,128,1_8_0_8
892,128,1_0_8_8
1154,128,2_4_0_4
132,131,1_7_9_1
27,131,1_1_9_7
98,131,1_5_9_5
11,131,1_1_3_11
22,131,1_1_7_9
158,131,1_9_5_5
147,131,1_9_1_7
31,131,1_1_11_3
88,131,1_5_5_9
112,131,1_7_1_9
41,131,1_3_1_11
66,131,1_3_11_1
181,131,1_11_1_3
162,131,1_9_7_1
186,131,1_11_3_1
928,132,1_2_8_8
1033,132,1_8_8_2
1058,132,1_10_4_4
968,132,1_4_10_4
953,132,1_4_4_10
1018,132,1_8_2_8
1062,136,1_10_6_0
977,136,1_6_0_10
1047,136,1_10_0_6
887,136,1_0_6_10
1002,136,1_6_10_0
999,136,1_6_8_6
994,136,1_6_6_8
897,136,1_0_10_6
1029,136,1_8_6_6
47,139,1_3_3_11
153,139,1_9_3_7
118,139,1_7_3_9
58,139,1_3_7_9
133,139,1_7_9_3
67,139,1_3_11_3
163,139,1_9_7_3
63,139,1_3_9_7
187,139,1_11_3_3
264,140,2_3_5_1
254,140,2_3_1_5
224,140,2_1_3_5
289,140,2_5_1_3
229,140,2_1_5_3
