>>Logging Name:Logging Name
>>FROM:02-04-2019 10:31:43   TO:02-04-2019 12:45:01
>>Sample Points:4000
>>Sample Rate:2 sec.
>>Temperature Unit:Celsius
>>Temperature(LowAlarm:0.0-HighAlarm:40.0)   Relative Humidity(LowAlarm:35.0-HighAlarm:75.0)
----------------------------------------------------------------------------------------------
NO.	DATE	TIME	TEMPERATURE	RELATIVE-HUMIDITY	DEW-POINT
    1	02-04-2019	10:31:43	20.7	17.5	-4.8
    2	02-04-2019	10:31:45	20.7	18.0	-4.4
    3	02-04-2019	10:31:47	20.7	18.5	-4.0
    4	02-04-2019	10:31:49	20.8	18.9	-3.7
    5	02-04-2019	10:31:51	20.8	19.2	-3.5
    6	02-04-2019	10:31:53	20.8	19.5	-3.2
    7	02-04-2019	10:31:55	20.8	19.7	-3.1
    8	02-04-2019	10:31:57	20.8	20.0	-2.9
    9	02-04-2019	10:31:59	20.8	20.2	-2.8
   10	02-04-2019	10:32:01	20.8	20.4	-2.6
   11	02-04-2019	10:32:03	20.8	20.5	-2.6
   12	02-04-2019	10:32:05	20.8	20.7	-2.4
   13	02-04-2019	10:32:07	20.8	20.8	-2.4
   14	02-04-2019	10:32:09	20.8	20.9	-2.3
   15	02-04-2019	10:32:11	20.8	21.1	-2.2
   16	02-04-2019	10:32:13	20.8	21.2	-2.1
   17	02-04-2019	10:32:15	20.9	21.3	-2.0
   18	02-04-2019	10:32:17	20.9	21.4	-1.9
   19	02-04-2019	10:32:19	20.9	21.5	-1.8
   20	02-04-2019	10:32:21	20.9	21.6	-1.8
   21	02-04-2019	10:32:23	20.9	21.7	-1.7
   22	02-04-2019	10:32:25	20.9	21.8	-1.7
   23	02-04-2019	10:32:27	20.9	21.9	-1.6
   24	02-04-2019	10:32:29	20.9	22.0	-1.5
   25	02-04-2019	10:32:31	20.9	22.1	-1.5
   26	02-04-2019	10:32:33	20.9	22.2	-1.4
   27	02-04-2019	10:32:35	20.9	22.2	-1.4
   28	02-04-2019	10:32:37	20.9	22.3	-1.4
   29	02-04-2019	10:32:39	20.9	22.4	-1.3
   30	02-04-2019	10:32:41	20.9	22.4	-1.3
   31	02-04-2019	10:32:43	20.9	22.4	-1.3
   32	02-04-2019	10:32:45	20.9	22.5	-1.2
   33	02-04-2019	10:32:47	20.9	22.6	-1.2
   34	02-04-2019	10:32:49	20.9	22.6	-1.2
   35	02-04-2019	10:32:51	20.9	22.7	-1.1
   36	02-04-2019	10:32:53	20.9	22.7	-1.1
   37	02-04-2019	10:32:55	20.9	22.8	-1.1
   38	02-04-2019	10:32:57	20.9	22.8	-1.1
   39	02-04-2019	10:32:59	20.9	22.9	-1.0
   40	02-04-2019	10:33:01	20.9	22.9	-1.0
   41	02-04-2019	10:33:03	20.9	23.0	-0.9
   42	02-04-2019	10:33:05	20.9	23.0	-0.9
   43	02-04-2019	10:33:07	20.9	23.0	-0.9
   44	02-04-2019	10:33:09	20.9	23.1	-0.9
   45	02-04-2019	10:33:11	20.9	23.1	-0.9
   46	02-04-2019	10:33:13	20.9	23.1	-0.9
   47	02-04-2019	10:33:15	20.9	23.2	-0.8
   48	02-04-2019	10:33:17	20.9	23.2	-0.8
   49	02-04-2019	10:33:19	20.9	23.2	-0.8
   50	02-04-2019	10:33:21	20.9	23.2	-0.8
   51	02-04-2019	10:33:23	20.9	23.3	-0.8
   52	02-04-2019	10:33:25	20.9	23.4	-0.7
   53	02-04-2019	10:33:27	20.9	23.4	-0.7
   54	02-04-2019	10:33:29	21.0	23.4	-0.6
   55	02-04-2019	10:33:31	20.9	23.5	-0.6
   56	02-04-2019	10:33:33	20.9	23.5	-0.6
   57	02-04-2019	10:33:35	20.9	23.5	-0.6
   58	02-04-2019	10:33:37	20.9	23.5	-0.6
   59	02-04-2019	10:33:39	20.9	23.5	-0.6
   60	02-04-2019	10:33:41	20.9	23.6	-0.6
   61	02-04-2019	10:33:43	20.9	23.6	-0.6
   62	02-04-2019	10:33:45	20.9	23.6	-0.6
   63	02-04-2019	10:33:47	20.9	23.7	-0.5
   64	02-04-2019	10:33:49	20.9	23.7	-0.5
   65	02-04-2019	10:33:51	20.9	23.7	-0.5
   66	02-04-2019	10:33:53	20.9	23.7	-0.5
   67	02-04-2019	10:33:55	20.9	23.7	-0.5
   68	02-04-2019	10:33:57	20.9	23.8	-0.5
   69	02-04-2019	10:33:59	20.9	23.8	-0.5
   70	02-04-2019	10:34:01	20.9	23.8	-0.5
   71	02-04-2019	10:34:03	20.9	23.9	-0.4
   72	02-04-2019	10:34:05	20.9	23.9	-0.4
   73	02-04-2019	10:34:07	20.9	23.9	-0.4
   74	02-04-2019	10:34:09	20.9	24.0	-0.4
   75	02-04-2019	10:34:11	20.9	24.0	-0.4
   76	02-04-2019	10:34:13	20.9	24.0	-0.4
   77	02-04-2019	10:34:15	20.9	24.0	-0.4
   78	02-04-2019	10:34:17	20.9	24.0	-0.4
   79	02-04-2019	10:34:19	20.9	24.1	-0.3
   80	02-04-2019	10:34:21	20.9	24.1	-0.3
   81	02-04-2019	10:34:23	20.9	24.1	-0.3
   82	02-04-2019	10:34:25	20.9	24.1	-0.3
   83	02-04-2019	10:34:27	20.9	24.1	-0.3
   84	02-04-2019	10:34:29	20.9	24.2	-0.2
   85	02-04-2019	10:34:31	20.9	24.2	-0.2
   86	02-04-2019	10:34:33	20.9	24.2	-0.2
   87	02-04-2019	10:34:35	20.9	24.3	-0.2
   88	02-04-2019	10:34:37	20.9	24.3	-0.2
   89	02-04-2019	10:34:39	20.9	24.3	-0.2
   90	02-04-2019	10:34:41	20.9	24.3	-0.2
   91	02-04-2019	10:34:43	20.9	24.3	-0.2
   92	02-04-2019	10:34:45	20.9	24.3	-0.2
   93	02-04-2019	10:34:47	20.9	24.3	-0.2
   94	02-04-2019	10:34:49	20.9	24.4	-0.1
   95	02-04-2019	10:34:51	20.9	24.4	-0.1
   96	02-04-2019	10:34:53	20.9	24.4	-0.1
   97	02-04-2019	10:34:55	20.9	24.5	-0.1
   98	02-04-2019	10:34:57	20.9	24.5	-0.1
   99	02-04-2019	10:34:59	20.9	24.5	-0.1
  100	02-04-2019	10:35:01	20.9	24.5	-0.1
  101	02-04-2019	10:35:03	20.9	24.5	-0.1
  102	02-04-2019	10:35:05	20.9	24.5	-0.1
  103	02-04-2019	10:35:07	20.9	24.5	-0.1
  104	02-04-2019	10:35:09	20.9	24.6	0.0
  105	02-04-2019	10:35:11	20.9	24.6	0.0
  106	02-04-2019	10:35:13	20.9	24.6	0.0
  107	02-04-2019	10:35:15	20.9	24.6	0.0
  108	02-04-2019	10:35:17	20.9	24.6	0.0
  109	02-04-2019	10:35:19	20.9	24.7	0.0
  110	02-04-2019	10:35:21	20.9	24.7	0.0
  111	02-04-2019	10:35:23	20.9	24.7	0.0
  112	02-04-2019	10:35:25	20.9	24.8	0.0
  113	02-04-2019	10:35:27	20.9	24.8	0.0
  114	02-04-2019	10:35:29	20.9	24.8	0.0
  115	02-04-2019	10:35:31	20.9	24.8	0.0
  116	02-04-2019	10:35:33	20.9	24.8	0.0
  117	02-04-2019	10:35:35	20.9	24.8	0.0
  118	02-04-2019	10:35:37	20.9	24.8	0.0
  119	02-04-2019	10:35:39	20.9	24.8	0.0
  120	02-04-2019	10:35:41	20.9	24.9	0.1
  121	02-04-2019	10:35:43	20.9	24.9	0.1
  122	02-04-2019	10:35:45	20.9	24.9	0.1
  123	02-04-2019	10:35:47	20.9	24.9	0.1
  124	02-04-2019	10:35:49	20.9	24.9	0.1
  125	02-04-2019	10:35:51	20.9	25.0	0.1
  126	02-04-2019	10:35:53	20.9	25.0	0.1
  127	02-04-2019	10:35:55	20.9	25.0	0.1
  128	02-04-2019	10:35:57	20.9	25.0	0.1
  129	02-04-2019	10:35:59	20.9	25.0	0.1
  130	02-04-2019	10:36:01	20.9	25.0	0.1
  131	02-04-2019	10:36:03	20.9	25.0	0.1
  132	02-04-2019	10:36:05	20.9	25.0	0.1
  133	02-04-2019	10:36:07	20.9	25.0	0.1
  134	02-04-2019	10:36:09	20.9	25.1	0.2
  135	02-04-2019	10:36:11	20.9	25.1	0.2
  136	02-04-2019	10:36:13	20.9	25.1	0.2
  137	02-04-2019	10:36:15	20.9	25.1	0.2
  138	02-04-2019	10:36:17	20.9	25.1	0.2
  139	02-04-2019	10:36:19	20.9	25.1	0.2
  140	02-04-2019	10:36:21	20.9	25.1	0.2
  141	02-04-2019	10:36:23	20.9	25.2	0.2
  142	02-04-2019	10:36:25	20.9	25.2	0.2
  143	02-04-2019	10:36:27	20.9	25.2	0.2
  144	02-04-2019	10:36:29	20.9	25.2	0.2
  145	02-04-2019	10:36:31	20.9	25.2	0.2
  146	02-04-2019	10:36:33	20.9	25.3	0.3
  147	02-04-2019	10:36:35	20.9	25.3	0.3
  148	02-04-2019	10:36:37	20.9	25.3	0.3
  149	02-04-2019	10:36:39	20.9	25.3	0.3
  150	02-04-2019	10:36:41	20.9	25.3	0.3
  151	02-04-2019	10:36:43	20.9	25.3	0.3
  152	02-04-2019	10:36:45	20.9	25.3	0.3
  153	02-04-2019	10:36:47	20.9	25.3	0.3
  154	02-04-2019	10:36:49	20.9	25.3	0.3
  155	02-04-2019	10:36:51	20.9	25.3	0.3
  156	02-04-2019	10:36:53	20.9	25.4	0.3
  157	02-04-2019	10:36:55	20.9	25.4	0.3
  158	02-04-2019	10:36:57	20.9	25.4	0.3
  159	02-04-2019	10:36:59	20.9	25.4	0.3
  160	02-04-2019	10:37:01	20.9	25.4	0.3
  161	02-04-2019	10:37:03	20.9	25.4	0.3
  162	02-04-2019	10:37:05	20.9	25.4	0.3
  163	02-04-2019	10:37:07	20.9	25.5	0.4
  164	02-04-2019	10:37:09	20.9	25.5	0.4
  165	02-04-2019	10:37:11	20.9	25.5	0.4
  166	02-04-2019	10:37:13	20.9	25.5	0.4
  167	02-04-2019	10:37:15	20.9	25.5	0.4
  168	02-04-2019	10:37:17	20.9	25.5	0.4
  169	02-04-2019	10:37:19	20.9	25.5	0.4
  170	02-04-2019	10:37:21	20.9	25.5	0.4
  171	02-04-2019	10:37:23	20.9	25.5	0.4
  172	02-04-2019	10:37:25	20.9	25.5	0.4
  173	02-04-2019	10:37:27	20.9	25.5	0.4
  174	02-04-2019	10:37:29	20.9	25.5	0.4
  175	02-04-2019	10:37:31	20.9	25.6	0.4
  176	02-04-2019	10:37:33	20.9	25.6	0.4
  177	02-04-2019	10:37:35	20.9	25.6	0.4
  178	02-04-2019	10:37:37	20.9	25.6	0.4
  179	02-04-2019	10:37:39	20.9	25.6	0.4
  180	02-04-2019	10:37:41	20.9	25.6	0.4
  181	02-04-2019	10:37:43	20.9	25.6	0.4
  182	02-04-2019	10:37:45	20.9	25.6	0.4
  183	02-04-2019	10:37:47	20.9	25.7	0.5
  184	02-04-2019	10:37:49	20.9	25.6	0.4
  185	02-04-2019	10:37:51	20.9	25.7	0.5
  186	02-04-2019	10:37:53	20.9	25.7	0.5
  187	02-04-2019	10:37:55	20.9	25.7	0.5
  188	02-04-2019	10:37:57	20.9	25.7	0.5
  189	02-04-2019	10:37:59	20.9	25.7	0.5
  190	02-04-2019	10:38:01	20.9	25.7	0.5
  191	02-04-2019	10:38:03	20.9	25.7	0.5
  192	02-04-2019	10:38:05	20.9	25.8	0.5
  193	02-04-2019	10:38:07	20.9	25.8	0.5
  194	02-04-2019	10:38:09	20.9	25.8	0.5
  195	02-04-2019	10:38:11	20.9	25.8	0.5
  196	02-04-2019	10:38:13	20.9	25.8	0.5
  197	02-04-2019	10:38:15	20.9	25.8	0.5
  198	02-04-2019	10:38:17	20.9	25.8	0.5
  199	02-04-2019	10:38:19	20.9	25.8	0.5
  200	02-04-2019	10:38:21	20.9	25.8	0.5
  201	02-04-2019	10:38:23	20.9	25.8	0.5
  202	02-04-2019	10:38:25	20.9	25.8	0.5
  203	02-04-2019	10:38:27	20.9	25.8	0.5
  204	02-04-2019	10:38:29	20.9	25.8	0.5
  205	02-04-2019	10:38:31	20.9	25.8	0.5
  206	02-04-2019	10:38:33	20.9	25.9	0.6
  207	02-04-2019	10:38:35	20.9	25.9	0.6
  208	02-04-2019	10:38:37	20.9	25.9	0.6
  209	02-04-2019	10:38:39	20.9	25.9	0.6
  210	02-04-2019	10:38:41	20.9	25.9	0.6
  211	02-04-2019	10:38:43	20.9	25.9	0.6
  212	02-04-2019	10:38:45	20.9	25.9	0.6
  213	02-04-2019	10:38:47	20.9	25.9	0.6
  214	02-04-2019	10:38:49	20.9	25.9	0.6
  215	02-04-2019	10:38:51	20.9	25.9	0.6
  216	02-04-2019	10:38:53	21.0	25.9	0.7
  217	02-04-2019	10:38:55	20.9	25.9	0.6
