Time,Integral 1200,Integral 7400
1547506101.898814,18352.000000,23816.000000
1547506101.896012,19181.000000,23073.000000
1547506101.896409,17354.000000,20571.000000
1547506101.897269,15668.000000,17288.000000
1547506101.898709,20626.000000,27302.000000
1547506101.898760,15948.000000,20202.000000
1547506101.898814,13304.000000,15310.000000
1547506101.898989,15304.000000,18915.000000
1547506101.900081,17053.000000,19397.000000
1547506101.900595,15797.000000,19023.000000
1547506101.901543,17136.000000,20307.000000
1547506101.902611,15327.000000,18362.000000
1547506101.902656,12135.000000,14756.000000
1547506101.902792,17864.000000,22829.000000
1547506101.903063,23741.000000,29969.000000
1547506101.903125,18223.000000,22532.000000
1547506101.903177,21923.000000,28777.000000
1547506101.903348,18334.000000,22049.000000
1547506101.903780,14627.000000,17266.000000
1547506101.905607,15416.000000,19125.000000
1547506101.905889,20107.000000,25502.000000
1547506101.906223,20445.000000,26239.000000
1547506101.907358,21703.000000,26867.000000
1547506101.907749,18182.000000,22385.000000
1547506101.908883,19551.000000,25133.000000
1547506101.909730,18430.000000,22678.000000
1547506101.910142,17209.000000,21576.000000
1547506101.910206,19903.000000,25880.000000
1547506101.912441,20040.000000,25561.000000
1547506101.913212,23046.000000,28925.000000
1547506101.914260,19972.000000,24793.000000
1547506101.914486,16279.000000,19890.000000
1547506101.915134,16053.000000,30156.000000
1547506101.915593,19222.000000,22158.000000
1547506101.915773,18653.000000,22891.000000
1547506101.915995,19420.000000,23570.000000
1547506101.916756,18519.000000,21845.000000
1547506101.917199,17393.000000,21128.000000
1547506101.918682,19370.000000,24219.000000
1547506101.919062,21037.000000,25301.000000
1547506101.919111,20828.000000,25757.000000
1547506101.920218,16532.000000,18865.000000
1547506101.921656,19718.000000,29216.000000
1547506101.922686,18450.000000,22013.000000
1547506101.923795,21722.000000,27139.000000
1547506101.924115,21756.000000,27757.000000
1547506101.924350,20013.000000,24017.000000
1547506101.925384,14207.000000,16118.000000
1547506101.925531,10703.000000,11280.000000
1547506101.925570,20510.000000,25388.000000
1547506101.926157,14168.000000,15619.000000
1547506101.926884,19385.000000,23846.000000
1547506101.927513,3287.000000,31028.000000
1547506101.927694,20149.000000,26801.000000
1547506101.928119,22627.000000,29319.000000
1547506101.928275,19672.000000,25532.000000
1547506101.928522,16209.000000,19552.000000
1547506101.928815,17519.000000,20303.000000
1547506101.929613,17902.000000,21456.000000
1547506101.931479,17763.000000,21875.000000
1547506101.932067,21273.000000,26653.000000
1547506101.932543,22354.000000,28343.000000
1547506101.933831,17029.000000,19740.000000
1547506101.934778,17082.000000,21319.000000
1547506101.934957,22568.000000,27806.000000
1547506101.936476,23950.000000,31525.000000
1547506101.937812,7163.000000,13777.000000
1547506101.937846,20213.000000,25627.000000
1547506101.939705,21726.000000,27034.000000
1547506101.939778,18592.000000,23583.000000
1547506101.939803,21760.000000,26021.000000
1547506101.939839,21646.000000,28437.000000
1547506101.940005,16067.000000,18286.000000
1547506101.940876,18104.000000,23563.000000
1547506101.942420,19488.000000,25630.000000
1547506101.942779,19184.000000,23410.000000
1547506101.943330,16349.000000,20729.000000
1547506101.943563,22845.000000,30031.000000
1547506101.943646,20364.000000,26679.000000
1547506101.944596,20548.000000,26739.000000
1547506101.944892,20324.000000,25902.000000
1547506101.945895,16828.000000,22601.000000
1547506101.946204,21163.000000,26165.000000
1547506101.946434,21395.000000,26403.000000
1547506101.946681,13818.000000,15952.000000
1547506101.947098,19861.000000,23699.000000
1547506101.947326,21630.000000,27659.000000
1547506101.948645,13811.000000,14951.000000
1547506101.948980,17074.000000,21215.000000
1547506101.949271,15759.000000,18130.000000
1547506101.949582,19177.000000,24804.000000
1547506101.951160,22188.000000,28070.000000
1547506101.952384,11104.000000,13287.000000
1547506101.953361,21792.000000,28604.000000
1547506101.953623,16752.000000,22081.000000
1547506101.954416,18390.000000,23777.000000
1547506101.954488,22713.000000,29088.000000
1547506101.955131,33766.000000,49699.000000
1547506101.955914,19651.000000,25252.000000
1547506101.956403,14775.000000,16912.000000
1547506101.957753,17160.000000,20707.000000
1547506101.958557,17663.000000,23407.000000
1547506101.958721,16430.000000,18827.000000
1547506101.959036,17734.000000,20349.000000
1547506101.959560,21873.000000,26184.000000
1547506101.960363,15798.000000,19547.000000
1547506101.960756,17985.000000,21801.000000
1547506101.961334,19929.000000,25478.000000
1547506101.961931,18677.000000,24413.000000
1547506101.961966,18781.000000,23280.000000
1547506101.962289,16298.000000,21735.000000
1547506101.962946,20853.000000,25217.000000
1547506101.963529,18771.000000,23337.000000
1547506101.963734,10813.000000,11173.000000
1547506101.965507,17177.000000,23200.000000
1547506101.965736,18180.000000,23419.000000
1547506101.966477,13290.000000,16594.000000
1547506101.966970,18497.000000,20650.000000
1547506101.967188,23013.000000,29504.000000
1547506101.967717,18222.000000,22373.000000
1547506101.968312,22708.000000,30075.000000
1547506101.968435,19942.000000,25172.000000
1547506101.969392,17946.000000,21756.000000
1547506101.971269,20539.000000,25627.000000
1547506101.971585,18947.000000,23986.000000
1547506101.971917,15736.000000,18950.000000
1547506101.972602,19076.000000,22879.000000
1547506101.974146,19098.000000,22692.000000
1547506101.974856,23425.000000,29850.000000
1547506101.975722,23185.000000,30036.000000
1547506101.976063,22162.000000,29061.000000
1547506101.976474,21281.000000,27996.000000
1547506101.976675,20037.000000,54694.000000
1547506101.977641,24856.000000,33027.000000
1547506101.978975,15571.000000,17279.000000
1547506101.980078,12624.000000,14873.000000
1547506101.981929,22711.000000,29595.000000
1547506101.982320,18965.000000,22974.000000
1547506101.984953,23049.000000,29769.000000
1547506101.985457,16121.000000,20168.000000
1547506101.985750,17376.000000,20869.000000
1547506101.986971,17239.000000,19773.000000
1547506101.988341,11164.000000,13047.000000
1547506101.989250,16705.000000,17810.000000
1547506101.990581,22207.000000,29134.000000
1547506101.990714,17458.000000,18669.000000
