>>Logging Name:Logging Name
>>FROM:01-15-2019 10:56:38   TO:01-15-2019 11:29:56
>>Sample Points:1000
>>Sample Rate:2 sec.
>>Temperature Unit:Celsius
>>Temperature(LowAlarm:0.0-HighAlarm:40.0)   Relative Humidity(LowAlarm:35.0-HighAlarm:75.0)
----------------------------------------------------------------------------------------------
NO.	DATE	TIME	TEMPERATURE	RELATIVE-HUMIDITY	DEW-POINT
    1	01-15-2019	10:56:38	25.8	30.3	7.0
    2	01-15-2019	10:56:40	25.8	30.8	7.3
    3	01-15-2019	10:56:42	25.8	30.8	7.3
    4	01-15-2019	10:56:44	25.8	30.8	7.3
    5	01-15-2019	10:56:46	25.8	30.4	7.1
    6	01-15-2019	10:56:48	25.7	30.1	6.8
    7	01-15-2019	10:56:50	25.7	29.8	6.7
    8	01-15-2019	10:56:52	25.7	29.6	6.6
    9	01-15-2019	10:56:54	25.7	29.3	6.4
   10	01-15-2019	10:56:56	25.7	29.1	6.3
   11	01-15-2019	10:56:58	25.7	28.9	6.2
   12	01-15-2019	10:57:00	25.7	28.7	6.1
   13	01-15-2019	10:57:02	25.7	28.6	6.1
   14	01-15-2019	10:57:04	25.7	28.4	6.0
   15	01-15-2019	10:57:06	25.6	28.3	5.9
   16	01-15-2019	10:57:08	25.6	28.1	5.8
   17	01-15-2019	10:57:10	25.6	28.0	5.7
   18	01-15-2019	10:57:12	25.6	27.9	5.6
   19	01-15-2019	10:57:14	25.6	27.8	5.6
   20	01-15-2019	10:57:16	25.6	27.7	5.5
   21	01-15-2019	10:57:18	25.6	27.6	5.5
   22	01-15-2019	10:57:20	25.6	27.5	5.4
   23	01-15-2019	10:57:22	25.6	27.5	5.4
   24	01-15-2019	10:57:24	25.6	27.4	5.4
   25	01-15-2019	10:57:26	25.6	27.3	5.3
   26	01-15-2019	10:57:28	25.6	27.3	5.3
   27	01-15-2019	10:57:30	25.6	27.3	5.3
   28	01-15-2019	10:57:32	25.6	27.2	5.3
   29	01-15-2019	10:57:34	25.6	27.2	5.3
   30	01-15-2019	10:57:36	25.5	27.1	5.1
   31	01-15-2019	10:57:38	25.6	27.1	5.2
   32	01-15-2019	10:57:40	25.6	27.1	5.2
   33	01-15-2019	10:57:42	25.6	27.0	5.2
   34	01-15-2019	10:57:44	25.6	27.0	5.2
   35	01-15-2019	10:57:46	25.6	27.0	5.2
   36	01-15-2019	10:57:48	25.6	26.9	5.1
   37	01-15-2019	10:57:50	25.6	26.9	5.1
   38	01-15-2019	10:57:52	25.6	26.9	5.1
   39	01-15-2019	10:57:54	25.6	26.9	5.1
   40	01-15-2019	10:57:56	25.6	26.9	5.1
   41	01-15-2019	10:57:58	25.6	26.8	5.1
   42	01-15-2019	10:58:00	25.6	26.8	5.1
   43	01-15-2019	10:58:02	25.6	26.8	5.1
   44	01-15-2019	10:58:04	25.6	26.8	5.1
   45	01-15-2019	10:58:06	25.6	26.8	5.1
   46	01-15-2019	10:58:08	25.6	26.7	5.0
   47	01-15-2019	10:58:10	25.6	26.7	5.0
   48	01-15-2019	10:58:12	25.6	26.7	5.0
   49	01-15-2019	10:58:14	25.6	26.7	5.0
   50	01-15-2019	10:58:16	25.6	26.7	5.0
   51	01-15-2019	10:58:18	25.7	26.6	5.0
   52	01-15-2019	10:58:20	25.7	26.6	5.0
   53	01-15-2019	10:58:22	25.7	26.6	5.0
   54	01-15-2019	10:58:24	25.7	26.5	5.0
   55	01-15-2019	10:58:26	25.7	26.5	5.0
   56	01-15-2019	10:58:28	25.7	26.5	5.0
   57	01-15-2019	10:58:30	25.7	26.5	5.0
   58	01-15-2019	10:58:32	25.7	26.5	5.0
   59	01-15-2019	10:58:34	25.7	26.5	5.0
   60	01-15-2019	10:58:36	25.7	26.4	4.9
   61	01-15-2019	10:58:38	25.7	26.4	4.9
   62	01-15-2019	10:58:40	25.7	26.4	4.9
   63	01-15-2019	10:58:42	25.7	26.4	4.9
   64	01-15-2019	10:58:44	25.8	26.3	5.0
   65	01-15-2019	10:58:46	25.8	26.3	5.0
   66	01-15-2019	10:58:48	25.8	26.3	5.0
   67	01-15-2019	10:58:50	25.8	26.3	5.0
   68	01-15-2019	10:58:52	25.8	26.3	5.0
   69	01-15-2019	10:58:54	25.8	26.3	5.0
   70	01-15-2019	10:58:56	25.8	26.3	5.0
   71	01-15-2019	10:58:58	25.8	26.2	4.9
   72	01-15-2019	10:59:00	25.8	26.2	4.9
   73	01-15-2019	10:59:02	25.9	26.2	5.0
   74	01-15-2019	10:59:04	25.9	26.1	4.9
   75	01-15-2019	10:59:06	25.9	26.1	4.9
   76	01-15-2019	10:59:08	25.9	26.1	4.9
   77	01-15-2019	10:59:10	25.9	26.1	4.9
   78	01-15-2019	10:59:12	25.9	26.1	4.9
   79	01-15-2019	10:59:14	25.9	26.1	4.9
   80	01-15-2019	10:59:16	25.9	26.0	4.9
   81	01-15-2019	10:59:18	26.0	26.0	5.0
