>>Logging Name:Logging Name
>>FROM:01-08-2019 15:24:00   TO:01-08-2019 15:57:18
>>Sample Points:1000
>>Sample Rate:2 sec.
>>Temperature Unit:Celsius
>>Temperature(LowAlarm:0.0-HighAlarm:40.0)   Relative Humidity(LowAlarm:35.0-HighAlarm:75.0)
----------------------------------------------------------------------------------------------
NO.	DATE	TIME	TEMPERATURE	RELATIVE-HUMIDITY	DEW-POINT
    1	01-08-2019	15:24:00	23.0	31.2	5.0
    2	01-08-2019	15:24:02	23.0	31.3	5.1
    3	01-08-2019	15:24:04	23.0	31.3	5.1
    4	01-08-2019	15:24:06	23.0	31.2	5.0
    5	01-08-2019	15:24:08	23.1	31.2	5.1
    6	01-08-2019	15:24:10	23.1	31.1	5.1
    7	01-08-2019	15:24:12	23.1	30.9	5.0
    8	01-08-2019	15:24:14	23.1	30.8	4.9
    9	01-08-2019	15:24:16	23.1	30.7	4.9
   10	01-08-2019	15:24:18	23.1	30.6	4.8
   11	01-08-2019	15:24:20	23.1	30.5	4.8
   12	01-08-2019	15:24:22	23.1	30.4	4.7
   13	01-08-2019	15:24:24	23.1	30.3	4.7
   14	01-08-2019	15:24:26	23.1	30.2	4.6
   15	01-08-2019	15:24:28	23.1	30.1	4.6
   16	01-08-2019	15:24:30	23.1	30.1	4.6
   17	01-08-2019	15:24:32	23.1	30.0	4.5
   18	01-08-2019	15:24:34	23.1	29.9	4.5
   19	01-08-2019	15:24:36	23.1	29.8	4.4
   20	01-08-2019	15:24:38	23.1	29.8	4.4
   21	01-08-2019	15:24:40	23.1	29.7	4.4
   22	01-08-2019	15:24:42	23.1	29.6	4.4
   23	01-08-2019	15:24:44	23.1	29.6	4.4
   24	01-08-2019	15:24:46	23.1	29.5	4.3
   25	01-08-2019	15:24:48	23.1	29.4	4.3
   26	01-08-2019	15:24:50	23.2	29.4	4.3
   27	01-08-2019	15:24:52	23.2	29.3	4.3
   28	01-08-2019	15:24:54	23.2	29.3	4.3
   29	01-08-2019	15:24:56	23.2	29.2	4.2
   30	01-08-2019	15:24:58	23.2	29.1	4.2
   31	01-08-2019	15:25:00	23.2	29.1	4.2
   32	01-08-2019	15:25:02	23.2	29.1	4.2
   33	01-08-2019	15:25:04	23.2	29.0	4.1
   34	01-08-2019	15:25:06	23.2	28.9	4.1
   35	01-08-2019	15:25:08	23.2	28.9	4.1
   36	01-08-2019	15:25:10	23.2	28.9	4.1
   37	01-08-2019	15:25:12	23.2	28.8	4.0
   38	01-08-2019	15:25:14	23.2	28.8	4.0
   39	01-08-2019	15:25:16	23.2	28.7	4.0
   40	01-08-2019	15:25:18	23.2	28.6	3.9
   41	01-08-2019	15:25:20	23.2	28.6	3.9
   42	01-08-2019	15:25:22	23.2	28.6	3.9
   43	01-08-2019	15:25:24	23.2	28.5	3.9
   44	01-08-2019	15:25:26	23.2	28.5	3.9
   45	01-08-2019	15:25:28	23.2	28.4	3.8
