Time,Integral 1200,Integral 7400
1548369792.812723,11242.000000,12524.000000
1548369792.809145,19535.000000,23777.000000
1548369792.809498,17831.000000,23896.000000
1548369792.811160,21959.000000,28659.000000
1548369792.812378,17341.000000,19738.000000
1548369792.812402,16348.000000,19908.000000
1548369792.812723,16475.000000,20215.000000
1548369792.812960,20370.000000,26146.000000
1548369792.813518,21015.000000,26662.000000
1548369792.813794,14630.000000,18315.000000
1548369792.814405,18299.000000,24031.000000
1548369792.815018,20138.000000,26198.000000
1548369792.815261,19151.000000,24457.000000
1548369792.815806,19155.000000,25180.000000
1548369792.818088,19697.000000,23028.000000
1548369792.820399,19619.000000,23528.000000
1548369792.820431,21113.000000,27792.000000
1548369792.821695,16509.000000,18962.000000
1548369792.823963,19881.000000,25107.000000
1548369792.824023,19922.000000,24338.000000
1548369792.824848,22921.000000,29222.000000
1548369792.825115,15909.000000,20325.000000
1548369792.825224,16866.000000,21100.000000
1548369792.826311,17616.000000,22324.000000
1548369792.828678,21428.000000,28052.000000
1548369792.828912,19227.000000,24411.000000
1548369792.829791,18317.000000,22740.000000
1548369792.830269,19489.000000,25497.000000
1548369792.830981,19802.000000,25185.000000
1548369792.831052,17158.000000,23033.000000
1548369792.831174,20683.000000,27531.000000
1548369792.832679,16149.000000,19017.000000
1548369792.834648,17465.000000,21006.000000
1548369792.835559,21585.000000,29316.000000
1548369792.835921,13672.000000,17260.000000
1548369792.836874,21253.000000,29829.000000
1548369792.836978,19359.000000,23480.000000
1548369792.837177,18157.000000,22301.000000
1548369792.837725,23441.000000,30361.000000
1548369792.838312,22407.000000,28546.000000
1548369792.839040,19668.000000,25159.000000
1548369792.839243,22017.000000,28357.000000
1548369792.839424,16789.000000,20320.000000
1548369792.839449,21243.000000,28333.000000
1548369792.840141,20381.000000,25727.000000
1548369792.840244,12438.000000,14335.000000
1548369792.841131,20116.000000,26289.000000
1548369792.843096,20833.000000,26376.000000
1548369792.843394,19159.000000,23551.000000
1548369792.844738,19722.000000,24946.000000
1548369792.845502,18512.000000,23619.000000
1548369792.846332,19378.000000,24605.000000
1548369792.846689,18356.000000,22510.000000
1548369792.846925,9958.000000,10494.000000
1548369792.846951,17236.000000,21095.000000
1548369792.847772,18964.000000,22834.000000
1548369792.848065,12679.000000,21754.000000
1548369792.848734,19045.000000,25633.000000
1548369792.848797,18607.000000,24968.000000
1548369792.849364,19339.000000,24698.000000
1548369792.849528,16306.000000,19552.000000
1548369792.850547,16239.000000,20788.000000
1548369792.851308,18245.000000,23416.000000
1548369792.851907,21680.000000,27682.000000
1548369792.852332,21881.000000,55899.000000
1548369792.852616,20114.000000,26894.000000
1548369792.852999,20342.000000,25933.000000
