Time,Integral 1200,Integral 7400
1548457003.776071,16971.000000,23991.000000
1548457003.775429,5744.000000,7177.000000
1548457003.776071,21662.000000,28647.000000
1548457003.776724,21588.000000,28071.000000
1548457003.776796,19082.000000,24114.000000
1548457003.777102,14664.000000,19006.000000
1548457003.779221,12059.000000,14553.000000
1548457003.779738,20022.000000,25463.000000
1548457003.780634,10838.000000,15185.000000
1548457003.781546,15935.000000,21899.000000
1548457003.783230,14694.000000,19344.000000
1548457003.783638,17966.000000,23155.000000
1548457003.784004,16330.000000,21749.000000
1548457003.784683,15778.000000,19217.000000
1548457003.785725,11471.000000,14001.000000
1548457003.785942,8890.000000,12615.000000
1548457003.787223,13903.000000,18823.000000
1548457003.787481,8158.000000,10364.000000
1548457003.787556,12638.000000,17449.000000
1548457003.787599,7575.000000,10052.000000
1548457003.788306,15691.000000,20965.000000
1548457003.788525,20183.000000,27715.000000
1548457003.789545,9932.000000,10288.000000
1548457003.791260,13212.000000,17402.000000
1548457003.791683,20291.000000,26114.000000
1548457003.792044,13100.000000,17239.000000
1548457003.792099,12212.000000,15208.000000
1548457003.793149,12926.000000,17969.000000
1548457003.794183,18140.000000,24780.000000
1548457003.794611,17038.000000,22043.000000
1548457003.795344,20570.000000,26745.000000
1548457003.796206,3959.000000,26701.000000
1548457003.797045,14155.000000,17563.000000
1548457003.797192,16913.000000,21463.000000
1548457003.797542,17737.000000,23176.000000
1548457003.798686,16572.000000,21611.000000
1548457003.799316,13381.000000,17124.000000
1548457003.800100,10477.000000,13489.000000
1548457003.800602,16476.000000,23225.000000
1548457003.801504,16360.000000,20706.000000
1548457003.801812,14118.000000,18178.000000
1548457003.802453,21664.000000,27761.000000
1548457003.802825,18544.000000,23799.000000
1548457003.804839,21314.000000,27301.000000
1548457003.806015,17871.000000,24237.000000
1548457003.806213,16587.000000,21919.000000
1548457003.806962,24598.000000,30205.000000
1548457003.807363,15255.000000,18678.000000
1548457003.807712,18015.000000,22966.000000
1548457003.808577,15436.000000,19994.000000
1548457003.808918,18576.000000,25967.000000
1548457003.809300,17559.000000,23340.000000
1548457003.810041,14494.000000,17742.000000
1548457003.811628,6240.000000,8248.000000
1548457003.811821,22964.000000,30953.000000
1548457003.812340,11977.000000,15436.000000
1548457003.812376,13779.000000,17784.000000
1548457003.814206,15072.000000,20151.000000
1548457003.814256,14351.000000,19283.000000
1548457003.814493,20187.000000,27409.000000
1548457003.815092,16771.000000,22442.000000
1548457003.815194,12723.000000,16710.000000
1548457003.815563,15953.000000,20906.000000
1548457003.815985,15614.000000,27421.000000
1548457003.816028,15459.000000,19523.000000
1548457003.816299,17529.000000,21992.000000
1548457003.816741,10398.000000,13423.000000
1548457003.816818,18863.000000,25030.000000
1548457003.817888,8320.000000,9727.000000
1548457003.818080,8590.000000,10980.000000
1548457003.818488,15134.000000,19513.000000
1548457003.818599,8679.000000,11200.000000
1548457003.819691,15526.000000,42422.000000
1548457003.822255,7443.000000,8632.000000
1548457003.823412,23228.000000,51438.000000
1548457003.824501,16429.000000,20517.000000
1548457003.825425,21316.000000,27601.000000
1548457003.825518,11829.000000,16375.000000
1548457003.825765,12144.000000,14847.000000
1548457003.826262,15437.000000,21234.000000
1548457003.827349,9167.000000,10021.000000
1548457003.827652,13922.000000,17993.000000
1548457003.828035,15988.000000,19234.000000
1548457003.828146,11756.000000,15425.000000
1548457003.828246,12488.000000,16659.000000
1548457003.828438,13422.000000,16527.000000
1548457003.828573,12872.000000,16644.000000
1548457003.828727,11692.000000,15381.000000
1548457003.828874,16324.000000,20512.000000
1548457003.829295,16461.000000,21273.000000
1548457003.829633,10620.000000,13514.000000
1548457003.830586,14723.000000,19050.000000
1548457003.831350,13870.000000,18197.000000
1548457003.831870,20291.000000,25477.000000
1548457003.832214,13849.000000,19022.000000
1548457003.832683,12472.000000,17233.000000
1548457003.834942,14317.000000,43211.000000
1548457003.836365,16380.000000,21693.000000
1548457003.836895,16380.000000,22455.000000
1548457003.837857,17117.000000,22970.000000
1548457003.838094,17549.000000,21951.000000
1548457003.838288,16162.000000,21645.000000
1548457003.839571,18006.000000,24137.000000
1548457003.840519,16275.000000,21300.000000
1548457003.841105,4055.000000,9541.000000
1548457003.841330,20525.000000,27112.000000
1548457003.841720,16421.000000,22112.000000
1548457003.842433,21771.000000,29433.000000
1548457003.843801,19616.000000,26650.000000
1548457003.844424,18697.000000,23349.000000
1548457003.844500,8178.000000,10389.000000
1548457003.844856,17584.000000,23243.000000
1548457003.845655,19089.000000,24717.000000
1548457003.845807,12784.000000,16745.000000
1548457003.846661,11005.000000,14051.000000
1548457003.847123,21028.000000,26794.000000
1548457003.847338,19283.000000,25760.000000
1548457003.847376,16537.000000,20862.000000
1548457003.848109,14408.000000,18754.000000
1548457003.848907,15762.000000,20828.000000
1548457003.849836,16009.000000,22293.000000
1548457003.850105,11708.000000,14452.000000
1548457003.850443,12945.000000,16196.000000
1548457003.850828,18953.000000,27279.000000
1548457003.852027,14143.000000,19870.000000
1548457003.852906,19187.000000,25340.000000
1548457003.853532,15013.000000,19586.000000
1548457003.854781,9846.000000,12314.000000
1548457003.855147,13458.000000,17586.000000
1548457003.855266,15635.000000,20268.000000
1548457003.855730,14106.000000,19559.000000
1548457003.855897,17801.000000,23008.000000
1548457003.856025,11237.000000,14020.000000
1548457003.856223,15313.000000,19912.000000
1548457003.857407,17737.000000,24208.000000
1548457003.858142,16513.000000,22512.000000
1548457003.858351,16084.000000,20271.000000
1548457003.858725,15248.000000,21699.000000
1548457003.859022,15675.000000,20248.000000
1548457003.859280,12621.000000,16462.000000
1548457003.859607,7921.000000,9194.000000
1548457003.859691,13984.000000,18552.000000
1548457003.861924,3772.000000,8106.000000
1548457003.862013,14352.000000,18209.000000
1548457003.862189,20290.000000,26694.000000
1548457003.862314,14063.000000,19470.000000
1548457003.862882,14546.000000,18140.000000
1548457003.863029,16495.000000,22083.000000
1548457003.863462,2499.000000,4624.000000
1548457003.864782,20515.000000,50981.000000
1548457003.866089,19121.000000,24409.000000
1548457003.866835,16015.000000,28538.000000
1548457003.870296,19423.000000,24693.000000
1548457003.870647,17038.000000,23229.000000
1548457003.870865,8834.000000,16124.000000
1548457003.871125,14111.000000,17726.000000
1548457003.871814,16057.000000,20629.000000
1548457003.872309,16764.000000,22166.000000
1548457003.872630,15773.000000,21188.000000
1548457003.872869,18690.000000,24368.000000
1548457003.873302,12200.000000,15049.000000
1548457003.873479,14250.000000,17694.000000
1548457003.873578,16480.000000,21027.000000
1548457003.875916,13978.000000,17526.000000
1548457003.876208,13015.000000,17112.000000
1548457003.876432,22526.000000,28013.000000
1548457003.877747,10380.000000,13303.000000
1548457003.879116,16789.000000,22205.000000
1548457003.879633,18853.000000,24965.000000
1548457003.881056,12193.000000,15461.000000
1548457003.881559,9162.000000,11477.000000
1548457003.881788,15136.000000,20937.000000
1548457003.883325,19499.000000,25028.000000
1548457003.883747,20286.000000,26664.000000
1548457003.884163,10112.000000,14334.000000
1548457003.884318,19086.000000,24621.000000
1548457003.884919,14566.000000,19202.000000
1548457003.885358,15538.000000,20927.000000
1548457003.886249,14101.000000,17508.000000
1548457003.886599,19587.000000,24364.000000
1548457003.886839,14336.000000,17008.000000
1548457003.887396,9804.000000,13294.000000
1548457003.887994,14479.000000,19842.000000
1548457003.888226,12810.000000,16823.000000
1548457003.889004,17988.000000,24117.000000
1548457003.889946,18357.000000,23697.000000
1548457003.890055,15904.000000,19830.000000
1548457003.890883,19214.000000,23876.000000
1548457003.891365,14996.000000,19922.000000
1548457003.891572,16769.000000,22350.000000
1548457003.891622,20716.000000,26895.000000
1548457003.894140,14463.000000,17886.000000
1548457003.894502,14754.000000,18729.000000
1548457003.895381,20813.000000,27384.000000
1548457003.895939,16695.000000,22483.000000
1548457003.896198,15720.000000,21993.000000
1548457003.896743,16594.000000,21587.000000
1548457003.897195,14011.000000,18660.000000
1548457003.897625,17109.000000,22480.000000
1548457003.898025,17287.000000,22526.000000
1548457003.898212,15756.000000,20578.000000
1548457003.898616,19801.000000,25377.000000
1548457003.898918,15731.000000,21616.000000
1548457003.899307,14950.000000,20741.000000
1548457003.900841,19240.000000,26337.000000
1548457003.901439,10933.000000,12996.000000
1548457003.901901,17637.000000,22017.000000
1548457003.902872,14330.000000,18692.000000
1548457003.903037,11025.000000,14385.000000
1548457003.903365,13470.000000,16824.000000
1548457003.903893,14195.000000,17713.000000
1548457003.903939,13802.000000,18893.000000
1548457003.904115,12516.000000,16075.000000
1548457003.905545,15534.000000,18626.000000
1548457003.906145,16259.000000,20441.000000
1548457003.906746,9855.000000,12148.000000
1548457003.907305,11063.000000,15518.000000
1548457003.907770,12903.000000,16396.000000
1548457003.907831,38683.000000,51722.000000
1548457003.908396,20644.000000,27393.000000
1548457003.908612,13167.000000,32658.000000
1548457003.909227,17064.000000,20040.000000
1548457003.909306,18776.000000,25313.000000
1548457003.910581,14793.000000,19860.000000
1548457003.910621,14670.000000,18135.000000
1548457003.911142,17533.000000,23270.000000
1548457003.911547,12877.000000,17198.000000
1548457003.911630,18217.000000,24513.000000
1548457003.912606,16112.000000,21539.000000
1548457003.913208,15394.000000,21556.000000
1548457003.914172,10411.000000,12297.000000
1548457003.914221,13227.000000,17819.000000
1548457003.914384,11988.000000,16388.000000
1548457003.914703,19567.000000,25359.000000
1548457003.915156,19773.000000,50831.000000
1548457003.915429,15663.000000,20896.000000
1548457003.916486,17847.000000,23579.000000
1548457003.916657,11365.000000,13578.000000
1548457003.916889,15030.000000,19105.000000
1548457003.917004,15827.000000,20079.000000
1548457003.918157,14303.000000,18096.000000
1548457003.918244,14629.000000,18886.000000
1548457003.918315,19241.000000,26814.000000
1548457003.918660,10255.000000,13391.000000
1548457003.918710,14212.000000,19033.000000
1548457003.918881,15993.000000,21393.000000
1548457003.920711,21344.000000,27657.000000
1548457003.920933,20006.000000,26509.000000
1548457003.921020,18510.000000,23848.000000
1548457003.922528,15344.000000,20836.000000
1548457003.924284,12631.000000,16271.000000
1548457003.925149,13981.000000,18083.000000
1548457003.925229,14615.000000,16560.000000
1548457003.925326,16724.000000,45992.000000
1548457003.925362,11810.000000,16501.000000
1548457003.926207,16145.000000,21097.000000
1548457003.926242,13517.000000,16205.000000
1548457003.926374,10786.000000,13554.000000
1548457003.927569,14036.000000,18251.000000
1548457003.927692,12960.000000,16817.000000
1548457003.928390,20172.000000,26021.000000
1548457003.928946,15756.000000,20539.000000
1548457003.929345,19237.000000,25563.000000
1548457003.930926,13701.000000,17175.000000
1548457003.931429,14138.000000,18078.000000
1548457003.931593,20198.000000,26421.000000
1548457003.932281,19835.000000,25872.000000
1548457003.932896,13229.000000,15990.000000
1548457003.933239,13634.000000,18264.000000
1548457003.935423,13650.000000,18564.000000
1548457003.935921,21190.000000,27337.000000
1548457003.936210,13982.000000,18960.000000
1548457003.936607,12817.000000,16682.000000
1548457003.937376,17581.000000,22577.000000
1548457003.937801,13537.000000,16793.000000
1548457003.938703,13180.000000,17905.000000
1548457003.938952,18180.000000,23512.000000
1548457003.940635,14218.000000,18518.000000
1548457003.940773,14946.000000,18957.000000
1548457003.940997,7775.000000,8664.000000
1548457003.941360,15288.000000,18131.000000
1548457003.942006,16298.000000,20707.000000
1548457003.944348,17802.000000,24268.000000
1548457003.945297,13128.000000,17601.000000
1548457003.945822,13076.000000,17806.000000
1548457003.945968,15497.000000,21062.000000
1548457003.946207,16037.000000,21528.000000
1548457003.946303,12847.000000,16826.000000
1548457003.947630,13924.000000,17826.000000
1548457003.948184,7090.000000,8984.000000
1548457003.948518,19827.000000,26650.000000
1548457003.948790,18133.000000,21977.000000
1548457003.949884,19333.000000,24597.000000
1548457003.952750,13610.000000,17535.000000
1548457003.953561,16765.000000,22353.000000
1548457003.953634,15109.000000,20073.000000
1548457003.954648,17077.000000,22689.000000
1548457003.956233,15183.000000,20490.000000
1548457003.956438,16414.000000,20156.000000
1548457003.956564,14514.000000,20087.000000
1548457003.956922,16002.000000,20695.000000
1548457003.957050,17513.000000,22420.000000
1548457003.957261,18579.000000,24341.000000
1548457003.958466,15972.000000,21124.000000
1548457003.958722,22519.000000,28681.000000
1548457003.959242,13480.000000,16778.000000
1548457003.959461,11983.000000,14465.000000
1548457003.960942,11527.000000,15288.000000
1548457003.960987,13329.000000,18493.000000
1548457003.961095,22198.000000,29469.000000
1548457003.961347,16438.000000,20745.000000
1548457003.961920,14072.000000,18747.000000
1548457003.962930,18915.000000,25412.000000
1548457003.963107,9375.000000,15327.000000
1548457003.963465,13072.000000,17601.000000
1548457003.963994,12627.000000,15422.000000
1548457003.964390,16328.000000,21266.000000
1548457003.965231,13739.000000,15721.000000
1548457003.968387,12999.000000,16232.000000
1548457003.971234,10913.000000,14574.000000
1548457003.974130,18647.000000,25485.000000
1548457003.977180,17593.000000,22659.000000
1548457003.980053,13794.000000,18786.000000
1548457003.982970,15917.000000,20591.000000
1548457003.985973,19248.000000,25147.000000
1548457003.989825,22140.000000,28785.000000
1548457003.992667,16025.000000,21288.000000
1548457003.995530,15395.000000,20195.000000
1548457003.998475,17707.000000,25274.000000
1548457004.000580,14195.000000,17647.000000
1548457004.003753,17626.000000,23208.000000
1548457004.006454,14127.000000,18428.000000
1548457004.008591,11315.000000,14227.000000
1548457004.011580,15852.000000,19850.000000
1548457004.015127,16162.000000,18438.000000
1548457004.017138,16813.000000,21694.000000
1548457004.021166,12192.000000,17450.000000
1548457004.023320,14643.000000,19815.000000
1548457004.025636,14162.000000,17951.000000
1548457004.028431,16725.000000,22891.000000
1548457004.031344,13142.000000,18246.000000
1548457004.035386,17320.000000,23424.000000
1548457004.037054,13899.000000,16341.000000
1548457004.041941,15590.000000,20709.000000
1548457004.043759,22471.000000,28149.000000
1548457004.047409,10377.000000,12995.000000
1548457004.051322,12469.000000,15633.000000
1548457004.054004,22121.000000,28716.000000
1548457004.057424,16505.000000,22610.000000
1548457004.061608,10799.000000,14328.000000
1548457004.064514,19158.000000,24707.000000
1548457004.067807,21287.000000,28526.000000
1548457004.073032,19330.000000,24952.000000
1548457004.076497,20095.000000,26668.000000
1548457004.079711,14037.000000,17316.000000
1548457004.083712,21021.000000,27658.000000
1548457004.087580,16288.000000,22545.000000
1548457004.090097,16522.000000,21616.000000
1548457004.093955,19603.000000,25952.000000
1548457004.097363,15392.000000,18993.000000
1548457004.102370,18101.000000,23437.000000
1548457004.105336,19652.000000,25158.000000
1548457004.107517,20190.000000,26987.000000
1548457004.110577,16721.000000,23100.000000
1548457004.114370,16077.000000,20976.000000
1548457004.117630,16645.000000,20783.000000
1548457004.123025,18685.000000,22716.000000
1548457004.125381,3077.000000,6542.000000
1548457004.128125,17509.000000,23155.000000
1548457004.132003,18963.000000,24245.000000
1548457004.135081,17995.000000,24363.000000
1548457004.139495,8675.000000,12280.000000
1548457004.141820,16506.000000,22882.000000
1548457004.145909,20433.000000,27227.000000
1548457004.149420,14593.000000,19427.000000
1548457004.153283,18213.000000,23180.000000
1548457004.156911,11705.000000,15231.000000
1548457004.159650,6758.000000,8600.000000
1548457004.162965,15580.000000,19580.000000
1548457004.166836,20786.000000,26802.000000
1548457004.169385,15902.000000,20668.000000
1548457004.174721,13910.000000,17702.000000
1548457004.175137,16832.000000,21226.000000
1548457004.177955,17344.000000,23305.000000
1548457004.181548,19526.000000,24765.000000
1548457004.184426,15159.000000,20193.000000
1548457004.187247,14886.000000,19640.000000
1548457004.190087,22132.000000,29295.000000
1548457004.193830,13601.000000,17341.000000
1548457004.195881,16850.000000,21824.000000
1548457004.199742,17797.000000,22889.000000
1548457004.203102,16904.000000,22710.000000
1548457004.204377,14668.000000,18554.000000
1548457004.207338,17250.000000,22528.000000
1548457004.210499,14918.000000,19878.000000
