>>Logging Name:Logging Name
>>FROM:01-28-2019 16:02:50   TO:01-28-2019 17:40:42
>>Sample Points:2937
>>Sample Rate:2 sec.
>>Temperature Unit:Celsius
>>Temperature(LowAlarm:0.0-HighAlarm:40.0)   Relative Humidity(LowAlarm:35.0-HighAlarm:75.0)
----------------------------------------------------------------------------------------------
NO.	DATE	TIME	TEMPERATURE	RELATIVE-HUMIDITY	DEW-POINT
    1	01-28-2019	16:02:50	21.7	32.3	4.4
    2	01-28-2019	16:02:52	21.8	32.9	4.7
    3	01-28-2019	16:02:54	21.8	33.2	4.9
    4	01-28-2019	16:02:56	21.8	33.3	4.9
    5	01-28-2019	16:02:58	21.8	33.3	4.9
    6	01-28-2019	16:03:00	21.8	33.2	4.9
    7	01-28-2019	16:03:02	21.8	33.2	4.9
    8	01-28-2019	16:03:04	21.9	33.1	4.9
    9	01-28-2019	16:03:06	21.9	33.0	4.9
   10	01-28-2019	16:03:08	21.9	33.0	4.9
   11	01-28-2019	16:03:10	21.9	33.0	4.9
   12	01-28-2019	16:03:12	21.9	32.9	4.8
   13	01-28-2019	16:03:14	21.9	32.8	4.8
   14	01-28-2019	16:03:16	21.9	32.8	4.8
   15	01-28-2019	16:03:18	21.9	32.7	4.7
   16	01-28-2019	16:03:20	21.9	32.7	4.7
   17	01-28-2019	16:03:22	21.9	32.6	4.7
   18	01-28-2019	16:03:24	22.0	32.6	4.8
   19	01-28-2019	16:03:26	22.0	32.6	4.8
   20	01-28-2019	16:03:28	22.0	32.5	4.7
   21	01-28-2019	16:03:30	22.0	32.5	4.7
   22	01-28-2019	16:03:32	22.0	32.5	4.7
   23	01-28-2019	16:03:34	22.0	32.5	4.7
   24	01-28-2019	16:03:36	22.0	32.4	4.7
   25	01-28-2019	16:03:38	22.0	32.4	4.7
   26	01-28-2019	16:03:40	22.0	32.4	4.7
   27	01-28-2019	16:03:42	22.0	32.4	4.7
   28	01-28-2019	16:03:44	22.0	32.4	4.7
   29	01-28-2019	16:03:46	22.0	32.3	4.6
   30	01-28-2019	16:03:48	22.1	32.3	4.7
   31	01-28-2019	16:03:50	22.0	32.3	4.6
   32	01-28-2019	16:03:52	22.1	32.3	4.7
   33	01-28-2019	16:03:54	22.1	32.3	4.7
   34	01-28-2019	16:03:56	22.1	32.3	4.7
   35	01-28-2019	16:03:58	22.1	32.3	4.7
   36	01-28-2019	16:04:00	22.1	32.3	4.7
   37	01-28-2019	16:04:02	22.1	32.3	4.7
   38	01-28-2019	16:04:04	22.1	32.3	4.7
   39	01-28-2019	16:04:06	22.1	32.2	4.7
   40	01-28-2019	16:04:08	22.1	32.2	4.7
   41	01-28-2019	16:04:10	22.1	32.2	4.7
   42	01-28-2019	16:04:12	22.1	32.2	4.7
   43	01-28-2019	16:04:14	22.1	32.2	4.7
   44	01-28-2019	16:04:16	22.1	32.2	4.7
   45	01-28-2019	16:04:18	22.1	32.2	4.7
   46	01-28-2019	16:04:20	22.1	32.2	4.7
   47	01-28-2019	16:04:22	22.1	32.2	4.7
   48	01-28-2019	16:04:24	22.1	32.2	4.7
   49	01-28-2019	16:04:26	22.1	32.2	4.7
   50	01-28-2019	16:04:28	22.1	32.2	4.7
   51	01-28-2019	16:04:30	22.1	32.2	4.7
   52	01-28-2019	16:04:32	22.1	32.2	4.7
   53	01-28-2019	16:04:34	22.1	32.1	4.6
   54	01-28-2019	16:04:36	22.1	32.2	4.7
   55	01-28-2019	16:04:38	22.1	32.2	4.7
   56	01-28-2019	16:04:40	22.1	32.2	4.7
   57	01-28-2019	16:04:42	22.1	32.1	4.6
   58	01-28-2019	16:04:44	22.1	32.1	4.6
   59	01-28-2019	16:04:46	22.1	32.1	4.6
   60	01-28-2019	16:04:48	22.1	32.1	4.6
   61	01-28-2019	16:04:50	22.1	32.1	4.6
   62	01-28-2019	16:04:52	22.1	32.1	4.6
   63	01-28-2019	16:04:54	22.1	32.1	4.6
   64	01-28-2019	16:04:56	22.1	32.1	4.6
   65	01-28-2019	16:04:58	22.1	32.1	4.6
   66	01-28-2019	16:05:00	22.1	32.1	4.6
   67	01-28-2019	16:05:02	22.1	32.1	4.6
   68	01-28-2019	16:05:04	22.1	32.1	4.6
   69	01-28-2019	16:05:06	22.1	32.1	4.6
   70	01-28-2019	16:05:08	22.1	32.1	4.6
   71	01-28-2019	16:05:10	22.1	32.1	4.6
   72	01-28-2019	16:05:12	22.1	32.1	4.6
   73	01-28-2019	16:05:14	22.1	32.1	4.6
   74	01-28-2019	16:05:16	22.1	32.1	4.6
   75	01-28-2019	16:05:18	22.1	32.1	4.6
   76	01-28-2019	16:05:20	22.1	32.1	4.6
   77	01-28-2019	16:05:22	22.1	32.1	4.6
   78	01-28-2019	16:05:24	22.1	32.1	4.6
   79	01-28-2019	16:05:26	22.1	32.1	4.6
   80	01-28-2019	16:05:28	22.1	32.1	4.6
   81	01-28-2019	16:05:30	22.1	32.1	4.6
   82	01-28-2019	16:05:32	22.1	32.1	4.6
   83	01-28-2019	16:05:34	22.1	32.1	4.6
   84	01-28-2019	16:05:36	22.1	32.1	4.6
   85	01-28-2019	16:05:38	22.1	32.1	4.6
   86	01-28-2019	16:05:40	22.1	32.1	4.6
   87	01-28-2019	16:05:42	22.1	32.1	4.6
   88	01-28-2019	16:05:44	22.1	32.1	4.6
   89	01-28-2019	16:05:46	22.1	32.1	4.6
   90	01-28-2019	16:05:48	22.1	32.1	4.6
   91	01-28-2019	16:05:50	22.1	32.1	4.6
   92	01-28-2019	16:05:52	22.1	32.1	4.6
   93	01-28-2019	16:05:54	22.1	32.1	4.6
   94	01-28-2019	16:05:56	22.1	32.1	4.6
   95	01-28-2019	16:05:58	22.1	32.1	4.6
   96	01-28-2019	16:06:00	22.1	32.1	4.6
   97	01-28-2019	16:06:02	22.1	32.1	4.6
