Time,Integral 1200,Integral 7400
1547056810.295444,-7991.000000,-16323.000000
1547056810.293426,1533.000000,-2803.000000
1547056810.294211,487.000000,1985.000000
1547056810.294472,11469.000000,17199.000000
1547056810.294650,12602.000000,20886.000000
1547056810.295182,2257.000000,2285.000000
1547056810.295444,8029.000000,13943.000000
1547056810.295697,8920.000000,22694.000000
1547056810.296566,248.000000,-1829.000000
1547056810.296609,921.000000,4421.000000
1547056810.296636,11341.000000,19840.000000
1547056810.297360,5830.000000,29273.000000
1547056810.297476,9972.000000,16629.000000
1547056810.297562,14096.000000,23866.000000
1547056810.297603,11482.000000,37467.000000
1547056810.297916,2635.000000,-3288.000000
1547056810.298978,8278.000000,13158.000000
1547056810.299046,7874.000000,17319.000000
1547056810.299079,-89.000000,-4772.000000
1547056810.299922,13170.000000,23105.000000
1547056810.299975,8105.000000,9406.000000
1547056810.300018,7867.000000,10740.000000
1547056810.300271,7672.000000,18398.000000
1547056810.300621,10329.000000,16255.000000
1547056810.300979,703.000000,-2269.000000
1547056810.301523,9103.000000,11572.000000
1547056810.301760,1443.000000,15617.000000
1547056810.301942,10365.000000,16296.000000
1547056810.302298,10157.000000,14719.000000
1547056810.302663,4382.000000,26936.000000
1547056810.303016,10461.000000,22445.000000
1547056810.303380,9825.000000,30162.000000
1547056810.303488,9232.000000,15453.000000
1547056810.303683,-4276.000000,-15133.000000
1547056810.303895,1464.000000,2022.000000
1547056810.303925,11503.000000,19938.000000
1547056810.304497,3002.000000,3844.000000
1547056810.304876,-36.000000,-8875.000000
1547056810.305116,6619.000000,20962.000000
1547056810.305339,8253.000000,12532.000000
1547056810.305828,4409.000000,10495.000000
1547056810.305930,77.000000,-4544.000000
1547056810.306287,8527.000000,15013.000000
1547056810.306582,6014.000000,9402.000000
1547056810.307170,864.000000,6281.000000
1547056810.307221,12634.000000,36826.000000
1547056810.307323,1943.000000,-2477.000000
1547056810.307380,14320.000000,33890.000000
1547056810.308128,12048.000000,20316.000000
1547056810.308678,9236.000000,12532.000000
1547056810.308713,4858.000000,8547.000000
1547056810.309428,-30.000000,-939.000000
1547056810.309955,11198.000000,35988.000000
1547056810.311021,7609.000000,18852.000000
1547056810.311122,8310.000000,13250.000000
1547056810.311206,9776.000000,38920.000000
1547056810.311684,3383.000000,1828.000000
1547056810.312126,12233.000000,22617.000000
1547056810.312215,3808.000000,16543.000000
1547056810.312282,6897.000000,8232.000000
1547056810.312371,1733.000000,1149.000000
1547056810.312403,-3415.000000,-10588.000000
1547056810.313107,1793.000000,27069.000000
1547056810.313357,9081.000000,12841.000000
1547056810.313758,8848.000000,22425.000000
1547056810.313938,7663.000000,11919.000000
1547056810.314151,18812.000000,32263.000000
1547056810.314175,-6200.000000,-13370.000000
1547056810.315416,8482.000000,17392.000000
1547056810.315688,-3227.000000,-11583.000000
1547056810.315811,3005.000000,19164.000000
1547056810.316604,4591.000000,8009.000000
1547056810.316927,8528.000000,15425.000000
1547056810.317470,9595.000000,14422.000000
1547056810.317599,4034.000000,5052.000000
1547056810.317677,-11656.000000,-22890.000000
1547056810.317708,3897.000000,4602.000000
1547056810.317842,10803.000000,23464.000000
1547056810.318088,7948.000000,10769.000000
1547056810.318811,5412.000000,35920.000000
1547056810.318904,11081.000000,20676.000000
1547056810.319550,11144.000000,14044.000000
1547056810.319584,18691.000000,30816.000000
1547056810.319954,1221.000000,-3148.000000
1547056810.320019,12673.000000,20626.000000
1547056810.320398,16769.000000,34853.000000
1547056810.320531,-3459.000000,-17459.000000
1547056810.320905,6954.000000,10868.000000
1547056810.321146,11515.000000,31583.000000
1547056810.321388,9092.000000,12408.000000
1547056810.321657,5608.000000,19921.000000
1547056810.321873,12944.000000,31955.000000
1547056810.322277,7618.000000,7989.000000
1547056810.322303,4656.000000,25447.000000
1547056810.322454,4871.000000,-2269.000000
1547056810.322492,3522.000000,545.000000
1547056810.322565,1936.000000,-1264.000000
1547056810.322604,3248.000000,16377.000000
1547056810.323359,8722.000000,12458.000000
1547056810.323814,8607.000000,14366.000000
1547056810.324094,673.000000,-6909.000000
1547056810.324174,8216.000000,14065.000000
1547056810.324255,11514.000000,20244.000000
1547056810.324860,14623.000000,23576.000000
1547056810.325144,10789.000000,16792.000000
1547056810.325343,10635.000000,16571.000000
1547056810.325476,9823.000000,22374.000000
1547056810.325524,13032.000000,20442.000000
1547056810.325625,9110.000000,17949.000000
1547056810.326093,5424.000000,-3456.000000
1547056810.326255,-18683.000000,-47453.000000
1547056810.326336,8343.000000,11575.000000
1547056810.326648,12252.000000,20603.000000
1547056810.326751,6575.000000,36784.000000
1547056810.326806,8736.000000,14329.000000
1547056810.326865,10672.000000,21674.000000
1547056810.327046,12305.000000,21262.000000
1547056810.327093,16580.000000,27363.000000
1547056810.327237,9914.000000,16135.000000
