Time,Integral 1200,Integral 7400
1528152932.106558,36040.000000,58037.000000
1528152927.704863,33529.000000,55691.000000
1528152930.724730,39783.000000,63979.000000
1528152931.107387,53735.000000,89557.000000
1528152931.506960,36573.000000,60277.000000
1528152931.639368,38817.000000,63483.000000
1528152932.106558,74704.000000,123164.000000
1528152933.071738,53492.000000,87600.000000
1528152933.659564,218680.000000,365496.000000
1528152935.487277,44275.000000,72680.000000
1528152935.655434,44210.000000,73648.000000
1528152937.067482,41727.000000,68303.000000
1528152937.696786,54054.000000,89967.000000
1528152937.698999,118472.000000,196732.000000
1528152938.529950,37340.000000,62270.000000
1528152938.793706,102560.000000,168920.000000
1528152940.272852,44277.000000,72594.000000
1528152940.781333,40646.000000,67651.000000
1528152940.786899,39411.000000,65924.000000
1528152941.243123,45029.000000,73543.000000
1528152941.476865,38786.000000,63765.000000
1528152941.715500,43969.000000,72648.000000
1528152943.633665,40274.000000,68143.000000
1528152944.222648,61862.000000,102496.000000
1528152944.330802,51345.000000,83615.000000
1528152945.083586,42665.000000,71256.000000
1528152946.993995,68610.000000,112828.000000
1528152947.503673,51144.000000,85662.000000
1528152950.495225,60873.000000,102325.000000
1528152951.027443,234248.000000,392383.000000
1528152951.859542,38306.000000,62847.000000
1528152952.135104,39144.000000,63923.000000
1528152953.030915,120649.000000,201517.000000
1528152953.113592,58074.000000,95524.000000
1528152953.328179,35366.000000,58195.000000
1528152954.956724,50332.000000,83495.000000
1528152955.817224,45467.000000,74957.000000
1528152957.221100,131694.000000,219233.000000
1528152957.616840,45182.000000,72322.000000
1528152959.255254,37749.000000,63622.000000
1528152960.336767,40076.000000,66293.000000
1528152960.554701,46496.000000,77304.000000
1528152961.300112,69637.000000,114229.000000
1528152962.299612,41366.000000,69055.000000
1528152963.011533,40874.000000,68081.000000
1528152963.585848,52812.000000,87666.000000
1528152964.298959,50235.000000,82757.000000
1528152966.571868,65299.000000,109033.000000
1528152966.747771,103440.000000,172796.000000
1528152967.206984,39687.000000,66003.000000
1528152967.694966,56800.000000,94954.000000
1528152968.816389,58207.000000,96694.000000
1528152969.338956,32721.000000,54238.000000
1528152969.775455,44605.000000,74515.000000
1528152971.478759,39384.000000,65498.000000
1528152972.084201,51545.000000,86694.000000
1528152973.045369,55145.000000,91552.000000
1528152974.076742,38751.000000,64874.000000
1528152976.931309,44140.000000,73878.000000
1528152977.712739,39737.000000,66813.000000
1528152978.822803,41961.000000,69847.000000
1528152979.777851,85944.000000,143034.000000
1528152980.865295,180114.000000,300176.000000
1528152980.888925,53396.000000,87350.000000
1528152981.335961,37573.000000,62755.000000
1528152981.985997,69930.000000,116566.000000
1528152983.100357,171342.000000,287350.000000
1528152984.080858,39728.000000,65830.000000
1528152984.759012,76193.000000,126488.000000
1528152985.131899,64738.000000,105875.000000
1528152985.597288,137586.000000,230692.000000
1528152985.750053,41439.000000,67835.000000
1528152986.876177,35273.000000,57370.000000
1528152990.210481,39236.000000,65120.000000
1528152991.972655,40404.000000,64244.000000
1528152992.557531,58275.000000,97595.000000
1528152995.657048,42096.000000,70158.000000
1528152996.778435,94008.000000,155468.000000
1528152997.289348,40048.000000,65233.000000
1528152997.827833,39298.000000,64903.000000
1528152998.451678,95678.000000,159443.000000
1528152999.226032,40437.000000,67279.000000
1528153000.146271,63011.000000,106110.000000
1528153000.453072,38302.000000,63338.000000
1528153002.604744,33610.000000,53878.000000
1528153004.213655,46159.000000,76608.000000
1528153006.354577,37749.000000,60661.000000
1528153006.723974,54839.000000,91375.000000
1528153007.407985,89439.000000,149051.000000
1528153008.983906,59515.000000,99336.000000
1528153010.101311,48441.000000,79280.000000
1528153010.125384,41929.000000,70404.000000
1528153010.897866,38340.000000,64210.000000
1528153013.386162,40841.000000,68239.000000
1528153014.248829,44380.000000,73656.000000
1528153016.156181,68602.000000,112077.000000
1528153016.705501,39194.000000,63963.000000
1528153017.207628,101662.000000,169812.000000
1528153017.768399,47104.000000,77531.000000
1528153018.388552,43277.000000,71327.000000
1528153018.661199,41312.000000,69382.000000
1528153020.423362,43775.000000,72974.000000
1528153020.790439,67238.000000,111198.000000
1528153021.021174,189898.000000,318977.000000
1528153021.437296,57645.000000,96896.000000
1528153021.511482,46495.000000,76516.000000
1528153022.952656,83537.000000,139741.000000
1528153023.500351,42278.000000,69267.000000
1528153023.941570,169167.000000,282241.000000
1528153024.411053,37060.000000,59849.000000
1528153025.725538,69835.000000,115580.000000
1528153026.171109,38975.000000,63954.000000
1528153028.001503,38730.000000,63059.000000
1528153028.492813,37936.000000,62969.000000
1528153029.886288,100215.000000,168143.000000
1528153032.414193,43009.000000,70570.000000
1528153032.513406,57441.000000,96382.000000
1528153033.790676,192225.000000,321883.000000
1528153033.885337,78040.000000,129683.000000
1528153036.955278,40877.000000,67924.000000
1528153037.367159,33498.000000,54415.000000
1528153038.558405,53404.000000,89945.000000
1528153041.323022,39912.000000,67233.000000
1528153041.752815,45718.000000,76778.000000
1528153042.450032,38535.000000,64551.000000
1528153042.852985,41359.000000,69133.000000
1528153051.573854,43667.000000,72432.000000
1528153051.727761,85161.000000,141495.000000
1528153053.226693,54426.000000,89425.000000
1528153053.490376,40244.000000,64180.000000
1528153055.396388,89675.000000,148947.000000
1528153055.639333,52018.000000,87203.000000
1528153056.959180,74062.000000,123114.000000
1528153057.142539,35447.000000,57109.000000
1528153059.354192,56050.000000,93564.000000
1528153059.608942,43133.000000,70490.000000
1528153059.611287,42906.000000,69594.000000
1528153059.871767,35024.000000,57121.000000
