>>Logging Name:Logging Name
>>FROM:06-04-2018 14:35:25   TO:06-05-2018 07:05:25
>>Sample Points:100
>>Sample Rate:600 sec.
>>Temperature Unit:Celsius
>>Temperature(LowAlarm:0.0-HighAlarm:40.0)   Relative Humidity(LowAlarm:35.0-HighAlarm:75.0)
----------------------------------------------------------------------------------------------
NO.	DATE	TIME	TEMPERATURE	RELATIVE-HUMIDITY	DEW-POINT
    1	06-04-2018	14:35:25	22.8	34.8	6.4
    2	06-04-2018	14:45:25	22.1	35.9	6.3
    3	06-04-2018	14:55:25	21.9	36.3	6.2
    4	06-04-2018	15:05:25	21.8	35.9	6.0
    5	06-04-2018	15:15:25	21.7	36.2	6.0
    6	06-04-2018	15:25:25	21.6	35.8	5.8
    7	06-04-2018	15:35:25	21.6	35.7	5.7
    8	06-04-2018	15:45:25	21.6	35.7	5.7
    9	06-04-2018	15:55:25	21.5	35.9	5.7
   10	06-04-2018	16:05:25	21.6	35.9	5.8
   11	06-04-2018	16:15:25	21.5	35.8	5.7
   12	06-04-2018	16:25:25	21.5	36.0	5.8
   13	06-04-2018	16:35:25	21.5	36.2	5.8
   14	06-04-2018	16:45:25	21.4	35.9	5.6
   15	06-04-2018	16:55:25	21.4	36.3	5.8
   16	06-04-2018	17:05:25	21.2	39.8	7.0
   17	06-04-2018	17:15:25	21.0	41.2	7.3
   18	06-04-2018	17:25:25	21.9	40.9	8.0
   19	06-04-2018	17:35:25	21.8	40.4	7.7
   20	06-04-2018	17:45:25	21.6	40.4	7.5
   21	06-04-2018	17:55:25	21.1	42.1	7.7
   22	06-04-2018	18:05:25	20.9	41.8	7.4
   23	06-04-2018	18:15:25	20.7	42.2	7.4
   24	06-04-2018	18:25:25	20.7	42.0	7.3
   25	06-04-2018	18:35:25	20.7	42.1	7.3
   26	06-04-2018	18:45:25	20.7	42.2	7.4
   27	06-04-2018	18:55:25	20.8	41.6	7.2
   28	06-04-2018	19:05:25	20.9	41.2	7.2
   29	06-04-2018	19:15:25	20.9	41.3	7.2
   30	06-04-2018	19:25:25	20.9	41.5	7.3
   31	06-04-2018	19:35:25	20.9	41.7	7.4
   32	06-04-2018	19:45:25	20.9	42.0	7.5
   33	06-04-2018	19:55:25	21.0	41.7	7.5
   34	06-04-2018	20:05:25	20.9	41.4	7.3
   35	06-04-2018	20:15:25	20.8	41.3	7.1
   36	06-04-2018	20:25:25	20.8	41.2	7.1
   37	06-04-2018	20:35:25	20.9	40.9	7.1
   38	06-04-2018	20:45:25	20.8	40.8	7.0
   39	06-04-2018	20:55:25	20.7	40.3	6.7
   40	06-04-2018	21:05:25	20.7	39.7	6.5
   41	06-04-2018	21:15:25	20.8	39.3	6.4
   42	06-04-2018	21:25:25	20.7	39.1	6.2
   43	06-04-2018	21:35:25	20.7	39.0	6.2
   44	06-04-2018	21:45:25	20.7	39.2	6.3
   45	06-04-2018	21:55:25	20.5	39.3	6.1
   46	06-04-2018	22:05:25	20.2	40.1	6.2
   47	06-04-2018	22:15:25	20.2	39.9	6.1
   48	06-04-2018	22:25:25	20.3	39.3	6.0
   49	06-04-2018	22:35:25	20.2	38.7	5.7
   50	06-04-2018	22:45:25	20.2	38.2	5.5
   51	06-04-2018	22:55:25	20.2	38.1	5.4
   52	06-04-2018	23:05:25	20.2	38.1	5.4
   53	06-04-2018	23:15:25	20.1	37.7	5.2
   54	06-04-2018	23:25:25	20.2	37.7	5.3
   55	06-04-2018	23:35:25	20.2	37.4	5.2
   56	06-04-2018	23:45:25	20.1	37.5	5.1
   57	06-04-2018	23:55:25	20.2	37.7	5.3
   58	06-05-2018	00:05:25	20.1	37.8	5.2
   59	06-05-2018	00:15:25	20.1	37.8	5.2
   60	06-05-2018	00:25:25	20.1	37.6	5.2
   61	06-05-2018	00:35:25	20.1	37.3	5.0
   62	06-05-2018	00:45:25	20.1	37.4	5.1
   63	06-05-2018	00:55:25	20.1	37.8	5.2
   64	06-05-2018	01:05:25	20.2	37.8	5.3
   65	06-05-2018	01:15:25	19.8	38.7	5.3
   66	06-05-2018	01:25:25	19.8	38.8	5.3
   67	06-05-2018	01:35:25	20.0	38.7	5.5
   68	06-05-2018	01:45:25	19.9	39.0	5.5
   69	06-05-2018	01:55:25	19.9	39.4	5.6
   70	06-05-2018	02:05:25	19.8	39.9	5.7
   71	06-05-2018	02:15:25	19.9	39.9	5.8
   72	06-05-2018	02:25:25	20.0	39.9	5.9
   73	06-05-2018	02:35:25	19.7	40.5	5.9
   74	06-05-2018	02:45:25	19.7	40.5	5.9
   75	06-05-2018	02:55:25	19.9	40.5	6.0
   76	06-05-2018	03:05:25	19.9	41.0	6.2
   77	06-05-2018	03:15:25	19.9	40.8	6.1
   78	06-05-2018	03:25:25	19.6	41.8	6.2
   79	06-05-2018	03:35:25	19.6	42.5	6.5
   80	06-05-2018	03:45:25	19.7	42.8	6.7
   81	06-05-2018	03:55:25	19.8	42.8	6.8
   82	06-05-2018	04:05:25	19.8	41.5	6.3
   83	06-05-2018	04:15:25	19.5	41.6	6.1
   84	06-05-2018	04:25:25	19.5	41.5	6.0
   85	06-05-2018	04:35:25	19.6	41.6	6.2
