>>Logging Name:Logging Name
>>FROM:03-26-2019 13:36:25   TO:03-26-2019 16:22:59
>>Sample Points:4998
>>Sample Rate:2 sec.
>>Temperature Unit:Celsius
>>Temperature(LowAlarm:0.0-HighAlarm:40.0)   Relative Humidity(LowAlarm:35.0-HighAlarm:75.0)
----------------------------------------------------------------------------------------------
NO.	DATE	TIME	TEMPERATURE	RELATIVE-HUMIDITY	DEW-POINT
    1	03-26-2019	13:36:25	21.3	40.2	7.2
    2	03-26-2019	13:36:27	21.3	40.1	7.2
    3	03-26-2019	13:36:29	21.3	40.0	7.1
    4	03-26-2019	13:36:31	21.4	40.0	7.2
    5	03-26-2019	13:36:33	21.4	39.9	7.2
    6	03-26-2019	13:36:35	21.4	39.9	7.2
    7	03-26-2019	13:36:37	21.4	39.8	7.1
    8	03-26-2019	13:36:39	21.4	39.7	7.1
    9	03-26-2019	13:36:41	21.4	39.7	7.1
   10	03-26-2019	13:36:43	21.4	39.6	7.1
   11	03-26-2019	13:36:45	21.4	39.6	7.1
   12	03-26-2019	13:36:47	21.4	39.5	7.0
   13	03-26-2019	13:36:49	21.4	39.5	7.0
   14	03-26-2019	13:36:51	21.4	39.5	7.0
   15	03-26-2019	13:36:53	21.4	39.5	7.0
   16	03-26-2019	13:36:55	21.4	39.4	7.0
   17	03-26-2019	13:36:57	21.4	39.4	7.0
   18	03-26-2019	13:36:59	21.4	39.3	6.9
   19	03-26-2019	13:37:01	21.4	39.3	6.9
   20	03-26-2019	13:37:03	21.4	39.3	6.9
   21	03-26-2019	13:37:05	21.4	39.3	6.9
   22	03-26-2019	13:37:07	21.4	39.3	6.9
   23	03-26-2019	13:37:09	21.5	39.2	7.0
   24	03-26-2019	13:37:11	21.5	39.2	7.0
   25	03-26-2019	13:37:13	21.5	39.2	7.0
   26	03-26-2019	13:37:15	21.5	39.1	7.0
   27	03-26-2019	13:37:17	21.5	39.1	7.0
   28	03-26-2019	13:37:19	21.5	39.1	7.0
   29	03-26-2019	13:37:21	21.5	39.1	7.0
   30	03-26-2019	13:37:23	21.5	39.1	7.0
   31	03-26-2019	13:37:25	21.5	39.1	7.0
   32	03-26-2019	13:37:27	21.5	39.0	6.9
   33	03-26-2019	13:37:29	21.5	39.0	6.9
   34	03-26-2019	13:37:31	21.5	39.0	6.9
   35	03-26-2019	13:37:33	21.5	39.0	6.9
   36	03-26-2019	13:37:35	21.5	39.0	6.9
   37	03-26-2019	13:37:37	21.5	38.9	6.9
   38	03-26-2019	13:37:39	21.5	38.9	6.9
   39	03-26-2019	13:37:41	21.5	38.9	6.9
   40	03-26-2019	13:37:43	21.5	38.9	6.9
   41	03-26-2019	13:37:45	21.5	38.9	6.9
   42	03-26-2019	13:37:47	21.5	38.9	6.9
   43	03-26-2019	13:37:49	21.5	38.8	6.8
   44	03-26-2019	13:37:51	21.5	38.8	6.8
   45	03-26-2019	13:37:53	21.5	38.8	6.8
   46	03-26-2019	13:37:55	21.5	38.7	6.8
   47	03-26-2019	13:37:57	21.5	38.7	6.8
   48	03-26-2019	13:37:59	21.5	38.7	6.8
   49	03-26-2019	13:38:01	21.5	38.7	6.8
   50	03-26-2019	13:38:03	21.5	38.7	6.8
   51	03-26-2019	13:38:05	21.5	38.6	6.8
   52	03-26-2019	13:38:07	21.5	38.6	6.8
   53	03-26-2019	13:38:09	21.5	38.6	6.8
   54	03-26-2019	13:38:11	21.5	38.6	6.8
   55	03-26-2019	13:38:13	21.5	38.5	6.7
   56	03-26-2019	13:38:15	21.5	38.5	6.7
   57	03-26-2019	13:38:17	21.5	38.5	6.7
   58	03-26-2019	13:38:19	21.5	38.5	6.7
   59	03-26-2019	13:38:21	21.5	38.4	6.7
   60	03-26-2019	13:38:23	21.5	38.4	6.7
   61	03-26-2019	13:38:25	21.5	38.4	6.7
   62	03-26-2019	13:38:27	21.5	38.4	6.7
   63	03-26-2019	13:38:29	21.5	38.3	6.7
   64	03-26-2019	13:38:31	21.5	38.3	6.7
   65	03-26-2019	13:38:33	21.5	38.3	6.7
   66	03-26-2019	13:38:35	21.5	38.3	6.7
   67	03-26-2019	13:38:37	21.5	38.2	6.6
   68	03-26-2019	13:38:39	21.5	38.2	6.6
   69	03-26-2019	13:38:41	21.5	38.1	6.6
   70	03-26-2019	13:38:43	21.4	38.1	6.5
   71	03-26-2019	13:38:45	21.5	38.1	6.6
   72	03-26-2019	13:38:47	21.4	38.1	6.5
   73	03-26-2019	13:38:49	21.4	38.0	6.5
   74	03-26-2019	13:38:51	21.4	38.0	6.5
   75	03-26-2019	13:38:53	21.4	38.0	6.5
   76	03-26-2019	13:38:55	21.4	37.9	6.4
   77	03-26-2019	13:38:57	21.4	37.9	6.4
   78	03-26-2019	13:38:59	21.4	37.9	6.4
   79	03-26-2019	13:39:01	21.4	37.8	6.4
   80	03-26-2019	13:39:03	21.4	37.8	6.4
   81	03-26-2019	13:39:05	21.4	37.7	6.3
   82	03-26-2019	13:39:07	21.4	37.7	6.3
   83	03-26-2019	13:39:09	21.4	37.6	6.3
   84	03-26-2019	13:39:11	21.4	37.6	6.3
   85	03-26-2019	13:39:13	21.4	37.6	6.3
   86	03-26-2019	13:39:15	21.4	37.5	6.3
   87	03-26-2019	13:39:17	21.4	37.4	6.2
   88	03-26-2019	13:39:19	21.4	37.4	6.2
   89	03-26-2019	13:39:21	21.4	37.4	6.2
   90	03-26-2019	13:39:23	21.4	37.4	6.2
   91	03-26-2019	13:39:25	21.4	37.3	6.2
   92	03-26-2019	13:39:27	21.4	37.2	6.1
   93	03-26-2019	13:39:29	21.4	37.2	6.1
   94	03-26-2019	13:39:31	21.4	37.2	6.1
   95	03-26-2019	13:39:33	21.4	37.1	6.1
   96	03-26-2019	13:39:35	21.4	37.1	6.1
   97	03-26-2019	13:39:37	21.4	37.0	6.1
   98	03-26-2019	13:39:39	21.4	37.0	6.1
   99	03-26-2019	13:39:41	21.4	37.0	6.1
  100	03-26-2019	13:39:43	21.4	36.9	6.0
  101	03-26-2019	13:39:45	21.4	36.9	6.0
  102	03-26-2019	13:39:47	21.4	36.8	6.0
  103	03-26-2019	13:39:49	21.4	36.8	6.0
  104	03-26-2019	13:39:51	21.4	36.8	6.0
  105	03-26-2019	13:39:53	21.4	36.7	6.0
  106	03-26-2019	13:39:55	21.3	36.7	5.9
  107	03-26-2019	13:39:57	21.3	36.6	5.8
  108	03-26-2019	13:39:59	21.3	36.6	5.8
  109	03-26-2019	13:40:01	21.3	36.5	5.8
  110	03-26-2019	13:40:03	21.3	36.5	5.8
  111	03-26-2019	13:40:05	21.3	36.4	5.7
  112	03-26-2019	13:40:07	21.3	36.4	5.7
  113	03-26-2019	13:40:09	21.3	36.3	5.7
  114	03-26-2019	13:40:11	21.3	36.3	5.7
  115	03-26-2019	13:40:13	21.3	36.3	5.7
  116	03-26-2019	13:40:15	21.3	36.2	5.7
  117	03-26-2019	13:40:17	21.3	36.2	5.7
  118	03-26-2019	13:40:19	21.3	36.1	5.6
  119	03-26-2019	13:40:21	21.3	36.1	5.6
  120	03-26-2019	13:40:23	21.3	36.1	5.6
  121	03-26-2019	13:40:25	21.3	36.0	5.6
  122	03-26-2019	13:40:27	21.3	35.9	5.5
  123	03-26-2019	13:40:29	21.3	35.9	5.5
  124	03-26-2019	13:40:31	21.2	35.9	5.5
  125	03-26-2019	13:40:33	21.2	35.8	5.4
  126	03-26-2019	13:40:35	21.2	35.8	5.4
  127	03-26-2019	13:40:37	21.2	35.7	5.4
  128	03-26-2019	13:40:39	21.2	35.7	5.4
  129	03-26-2019	13:40:41	21.2	35.7	5.4
  130	03-26-2019	13:40:43	21.2	35.6	5.3
  131	03-26-2019	13:40:45	21.2	35.6	5.3
  132	03-26-2019	13:40:47	21.2	35.5	5.3
  133	03-26-2019	13:40:49	21.2	35.4	5.3
  134	03-26-2019	13:40:51	21.2	35.4	5.3
  135	03-26-2019	13:40:53	21.2	35.4	5.3
  136	03-26-2019	13:40:55	21.2	35.3	5.2
  137	03-26-2019	13:40:57	21.2	35.3	5.2
  138	03-26-2019	13:40:59	21.2	35.2	5.2
  139	03-26-2019	13:41:01	21.2	35.2	5.2
  140	03-26-2019	13:41:03	21.2	35.2	5.2
  141	03-26-2019	13:41:05	21.2	35.1	5.1
  142	03-26-2019	13:41:07	21.1	35.0	5.0
  143	03-26-2019	13:41:09	21.1	35.0	5.0
  144	03-26-2019	13:41:11	21.1	35.0	5.0
  145	03-26-2019	13:41:13	21.1	34.9	5.0
  146	03-26-2019	13:41:15	21.1	34.9	5.0
