Energy(MeV) Coherent(cm^2g^-1) Compton(cm^2g^-1) Photoelectric(cm^2g^-1) Pair+Triplet(cm^2g^-1) Energy-Transfer(cm^2g^-1) Energy-Absorption(cm^2g^-1) 1-g
0.0010 1.37 0.0132 4080 0 4065 4065 1
0.0015 1.27 0.0267 1370 0 1372 1372 1
0.0020 1.15 0.0418 616 0 615.2 615.2 0.9999
0.003 0.909 0.0707 192 0 191.7 191.7 0.9999
0.004 0.708 0.0943 82.0 0 81.92 81.91 0.9999
0.005 0.558 0.112 41.9 0 41.89 41.88 0.9998
0.006 0.449 0.126 24.1 0 24.06 24.05 0.9998
0.008 0.31 0.144 9.92 0 9.918 9.915 0.9998
0.01 0.231 0.155 4.94 0 4.945 4.944 0.9998
0.015 0.133 0.17 1.37 0 1.374 1.374 0.9997
0.02 0.0886 0.177 0.544 0 0.5505 0.5503 0.9997
0.03 0.0469 0.183 0.146 0 0.1557 0.1557 0.9996
0.04 0.0287 0.183 0.0568 0 0.0695 0.06947 0.9996
0.05 0.0194 0.18 0.0272 0 0.04225 0.04223 0.9996
0.06 0.0139 0.177 0.0149 0 0.03191 0.0319 0.9996
0.08 0.00816 0.17 0.00577 0 0.02598 0.02597 0.9996
0.1 0.00535 0.163 0.00276 0 0.02547 0.02546 0.9996
0.15 0.00244 0.147 0.000731 0 0.02765 0.02764 0.9995
0.2 0.00139 0.135 0.000289 0 0.02969 0.02967 0.9994
0.3 0.000622 0.118 0.0000816 0 0.03195 0.03192 0.9992
0.4 0.000351 0.106 0.0000349 0 0.03282 0.03279 0.9989
0.5 0.000225 0.0966 0.0000188 0 0.03303 0.03299 0.9987
0.6 0.000156 0.0894 0.0000117 0 0.03289 0.03284 0.9984
0.8 0.0000879 0.0786 0.00000592 0 0.03212 0.03206 0.998
1 0.0000563 0.0707 0.00000368 0 0.03111 0.03103 0.9975
1.25 0.000036 0.0632 0.00000233 0.0000178 0.02974 0.02965 0.9969
1.5 0.000025 0.0574 0.00000169 0.0000982 0.02844 0.02833 0.9962
2 0.0000141 0.049 0.00000106 0.000391 0.02621 0.02608 0.9948
3 0.00000626 0.0385 0.000000594 0.00113 0.023 0.02281 0.9916
4 0.00000352 0.0322 0.000000408 0.00187 0.02091 0.02066 0.988
5 0.00000225 0.0278 0.000000309 0.00254 0.01946 0.01915 0.984
6 0.00000156 0.0245 0.000000248 0.00316 0.01843 0.01806 0.98
8 0.00000088 0.0201 0.000000178 0.00421 0.01707 0.01658 0.9716
10 0.000000563 0.0171 0.000000139 0.00509 0.01626 0.01566 0.9633
15 0.00000025 0.0127 0.0000000891 0.00675 0.01528 0.01441 0.9432
20 0.000000141 0.0102 0.0000000656 0.00798 0.01495 0.01382 0.9245
30 0.0000000626 0.0074 0.0000000429 0.00971 0.0149 0.01327 0.8904
40 0.0000000352 0.00588 0.0000000319 0.0109 0.0151 0.01298 0.86
50 0.0000000225 0.00491 0.0000000253 0.0118 0.01537 0.01279 0.8323
