N/A,PHSABC\vccdosim 09-Mar-2022 5:55:31 PM,,,,,,,,,,
x  = Dose ( cGy),y / % transmission,,,,,calibration strips given known dose,,,,,
derived calibration curve ,,,,,,,,,,,
,RED,,GREEN,,BLUE,DOSE (cGy),RED (%),DOSE (cGy),GREEN (%),DOSE (cGy),BLUE (%)
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,48.2,0,52.9,0,33.6,300,28,300,37.4,300,28.5
12.1,46.9,12.1,52,12.1,33.3,250,30.1,250,39.4,250,29.2
24.3,45.6,24.3,51.2,24.3,33,200,32.6,200,41.5,200,29.9
36.4,44.5,36.4,50.5,36.4,32.8,150,35.8,150,44.2,150,30.9
48.6,43.3,48.6,49.7,48.6,32.5,100,39.2,100,46.9,100,31.8
60.7,42.3,60.7,49,60.7,32.3,50,43,50,49.5,50,32.4
72.9,41.2,72.9,48.3,72.9,32,0,48.1,0,52.7,0,33.4
85,40.2,85,47.6,85,31.8,0,48.3,0,53,0,33.6
97.2,39.3,97.2,46.9,97.2,31.6,,,,,,
109.3,38.4,109.3,46.2,109.3,31.3,,,,,,
121.5,37.5,121.5,45.5,121.5,31.1,,,,,,
133.6,36.7,133.6,44.9,133.6,30.9,,,,,,
145.8,35.9,145.8,44.3,145.8,30.7,,,,,,
157.9,35.1,157.9,43.7,157.9,30.5,,,,,,
170.1,34.4,170.1,43.1,170.1,30.4,,,,,,
182.2,33.7,182.2,42.5,182.2,30.2,,,,,,
194.4,33,194.4,41.9,194.4,30,,,,,,
206.5,32.3,206.5,41.4,206.5,29.8,,,,,,
218.7,31.7,218.7,40.8,218.7,29.7,,,,,,
230.8,31.1,230.8,40.3,230.8,29.5,,,,,,
242.9,30.5,242.9,39.7,242.9,29.3,,,,,,
255.1,29.9,255.1,39.2,255.1,29.2,,,,,,
267.2,29.4,267.2,38.7,267.2,29,,,,,,
279.4,28.8,279.4,38.2,279.4,28.9,,,,,,
291.5,28.3,291.5,37.8,291.5,28.7,,,,,,
303.7,27.8,303.7,37.3,303.7,28.6,,,,,,
315.8,27.3,315.8,36.8,315.8,28.5,,,,,,
328,26.8,328,36.4,328,28.3,,,,,,
340.1,26.4,340.1,35.9,340.1,28.2,,,,,,
352.3,25.9,352.3,35.5,352.3,28.1,,,,,,
364.4,25.5,364.4,35,364.4,28,,,,,,
376.6,25.1,376.6,34.6,376.6,27.8,,,,,,
388.7,24.7,388.7,34.2,388.7,27.7,,,,,,
400.9,24.3,400.9,33.8,400.9,27.6,,,,,,
413,23.9,413,33.4,413,27.5,,,,,,
